frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
1000.0,max,10.0,20.4,999.9999,2.04,6.1926033485179754,False
1333.521432163324,max,10.0,20.4,1333.333,2.04,6.1926033485179754,False
1778.2794100389228,max,10.0,20.4,1785.714,2.04,6.1926033485179754,False
2371.373705661655,max,10.0,20.4,2380.952,2.04,6.1926033485179754,False
3162.2776601683795,max,10.0,20.4,3125.0,2.04,6.1926033485179754,False
4216.965034285822,max,10.0,20.4,4237.288,2.04,6.1926033485179754,False
5623.413251903491,max,10.0,20.4,5555.556,2.04,6.1926033485179754,False
7498.942093324558,max,10.0,20.4,7462.687,2.04,6.1926033485179754,False
10000.0,max,10.0,20.4,9803.922,2.04,6.1926033485179754,False
13335.21432163324,max,10.0,20.4,13333.33,2.04,6.1926033485179754,False
17782.794100389227,max,10.0,20.4,17857.14,2.04,6.1926033485179754,False
23713.737056616552,max,10.0,20.4,23809.52,2.04,6.1926033485179754,False
31622.776601683792,max,10.0,20.4,31250.0,2.04,6.1926033485179754,False
42169.65034285822,max,10.0,20.4,42372.88,2.04,6.1926033485179754,False
56234.13251903491,max,10.0,20.4,56818.18,2.04,6.1926033485179754,False
74989.42093324558,max,10.0,20.4,74626.87,2.04,6.1926033485179754,False
100000.0,max,10.0,20.4,100000.0,2.04,6.1926033485179754,False
133352.1432163324,max,10.0,20.4,133333.3,2.04,6.1926033485179754,False
177827.94100389228,max,10.0,20.8,178571.4,2.08,6.361266699255231,False
237137.37056616554,max,10.0,20.6,238095.2,2.06,6.277344407383069,False
316227.7660168379,max,10.0,20.6,312500.0,2.06,6.277344407383069,False
421696.5034285823,max,10.0,20.6,423728.8,2.06,6.277344407383069,False
562341.3251903491,max,10.0,20.6,555555.6,2.06,6.277344407383069,False
749894.2093324559,max,10.0,20.8,746268.6,2.08,6.361266699255231,False
1000000.0,max,10.0,20.6,1000000.0,2.06,6.277344407383069,False
1333521.432163324,max,10.0,20.6,1333333.0,2.06,6.277344407383069,False
1778279.410038923,max,10.0,20.8,1785714.0,2.08,6.361266699255231,False
2371373.7056616554,max,10.0,20.8,2380953.0,2.08,6.361266699255231,False
3162277.6601683795,max,10.0,21.0,3225807.0,2.1,6.444385894678386,False
4216965.034285823,max,10.0,21.0,4237288.0,2.1,6.444385894678386,False
5623413.251903491,max,10.0,21.6,5617978.0,2.16,6.689075023018618,False
7498942.093324558,max,10.0,22.0,7575758.0,2.2,6.848453616444125,False
10000000.0,max,10.0,23.4,10000000.0,2.34,7.384317148202856,False
13335214.32163324,max,10.0,24.8,13333330.0,2.48,7.889033616524326,False
17782794.100389227,max,10.0,27.4,17857140.0,2.7399999999999998,8.755011256407759,False
23713737.056616552,max,5.0,14.9,23255810.0,2.98,9.484325281525104,False
31622776.60168379,max,5.0,12.9,31250000.0,2.58,8.232394119264603,False
42169650.342858225,max,5.0,10.2,41666670.0,2.04,6.1926033485179754,False
56234132.51903491,max,5.0,9.6,55555560.0,1.92,5.666024574070992,False
74989420.93324558,max,2.5,5.65,75757580.0,2.2600000000000002,7.0821687829480195,False
100000000.0,max,2.5,3.8,100000000.0,1.52,3.6368717588954507,False
