frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
100000000.0,1,1,0.74,100000000.0,0.74,-2.615365605380476,False
103526492.38413784,1,1,0.74,104166700.0,0.74,-2.615365605380476,True
107177346.25362949,1,1,0.8,108695700.0,0.8,-1.938200260161128,True
110956947.20678432,1,1,0.84,113636400.0,0.84,-1.5144142787623671,True
114869835.4997034,1,1,0.9,113636400.0,0.9,-0.9151498112135024,True
118920711.50027211,1,1,0.92,125000000.0,0.92,-0.7242434530888943,True
123114441.33449173,1,1,0.9,125000000.0,0.9,-0.9151498112135024,True
127456062.73192643,1,1,0.84,125000000.0,0.84,-1.5144142787623671,True
131950791.07728922,1,1,0.78,131579000.0,0.78,-2.1581079461903916,True
136604025.67543945,1,1,0.74,136986300.0,0.74,-2.615365605380476,True
141421356.23730952,1,1,0.7,140845100.0,0.7,-3.0980391997148637,True
146408569.59456268,1,1,0.72,149253700.0,0.72,-2.8533500713746314,True
151571656.65104008,1,1,0.74,149253700.0,0.74,-2.615365605380476,True
156916819.5793499,1,1,0.72,156250000.0,0.72,-2.8533500713746314,True
162450479.271247,1,1,0.74,161290300.0,0.74,-2.615365605380476,True
168179283.05074292,1,1,0.7,169491500.0,0.7,-3.0980391997148637,True
174110112.659225,1,1,0.66,172413800.0,0.66,-3.6091212891626263,True
180250092.52216637,1,1,0.64,178571400.0,0.64,-3.8764005203222562,True
186606598.30736122,1,1,0.64,185185200.0,0.64,-3.8764005203222562,True
193187265.78496897,1,1,0.62,188679200.0,0.62,-4.152166210034923,True
200000000.0,1,1,0.56,200000000.0,0.56,-5.036239459875991,True
