frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
1000.0,1.0,1.0,0.0028,1000.0,0.0028,-51.05683937315561,False
1356.830976209873,1.0,1.0,1.0521,1361.9,1.0521,0.4411404120233,False
1840.9902980026347,1.0,1.0,1.0579,1832.6,1.0579,0.488892342626987,False
2497.91266323182,1.0,1.0,1.0533,2494.0,1.0533,0.4510416837002722,False
3389.24527733983,1.0,1.0,1.0486,3377.2,1.0486,0.41219706755408975,False
4598.632978267703,1.0,1.0,1.0492,4599.6,1.0492,0.41716563836631826,False
6239.567673133883,1.0,1.0,1.0591,6250.0,1.0591,0.49873936074887026,False
8466.038697065811,1.0,1.0,1.0589,8443.1,1.0589,0.4970989661003564,False
11486.98354997034,1.0,1.0,1.0641,11475.0,1.0641,0.5396488638321041,False
15585.895103813009,1.0,1.0,1.0688,15574.0,1.0688,0.5779289026294088,False
21147.425268811283,1.0,1.0,1.0521,21097.0,1.0521,0.4411404120233,False
28693.48167180655,1.0,1.0,1.0546,28814.0,1.0546,0.4617553399089065,False
38932.204747617376,1.0,1.0,1.0569,39087.0,1.0569,0.4806779580180983,False
52824.42137371222,1.0,1.0,1.0575,52659.0,1.0575,0.48560752094159987,False
71673.81122021578,1.0,1.0,1.0554,71695.0,1.0554,0.46834179682209703,False
97249.24724660731,1.0,1.0,1.0442,97250.0,1.0442,0.37567377749393605,False
131950.7910772895,1.0,1.0,1.0653,132490.0,1.0653,0.5494385404255576,False
179034.9206690637,1.0,1.0,1.0671,178750.0,1.0671,0.5641023981088549,False
242920.12618706233,1.0,1.0,1.0601,243090.0,1.0601,0.5069366901965425,False
329601.55195541796,1.0,1.0,1.0666,328820.0,1.0666,0.5600315869371566,False
447213.59549995797,1.0,1.0,1.0692,446580.0,1.0692,0.5811790016899918,False
606793.2593565352,1.0,1.0,1.0718,607610.0,1.0718,0.6022750541518617,False
823315.8904502982,1.0,1.0,1.0658,824080.0,1.0658,0.5535143180978606,False
1117100.5033687765,1.0,1.0,1.0625,1117800.0,1.0625,0.526578774446983,False
1515716.5665104007,1.0,1.0,1.07,1513000.0,1.07,0.5876755537041933,False
2056571.1885957795,1.0,1.0,1.0781,2056500.0,1.0781,0.6531809207984801,False
2790419.49346751,1.0,1.0,1.0851,2787000.0,1.0851,0.7093952696256429,False
3786127.6053565806,1.0,1.0,1.0841,3788300.0,1.0841,0.7013868884220896,False
5137135.214831118,1.0,1.0,1.0919,5143400.0,1.0919,0.7636573198132047,False
6970224.188461421,1.0,1.0,1.1119,6975700.0,1.1119,0.9213146046137533,False
9457416.09003176,1.0,1.0,1.1547,9467000.0,1.1547,1.249383316285068,False
12832115.105860751,1.0,1.0,1.2334,12826000.0,1.2334,1.822078881805719,False
17411011.265922498,1.0,1.0,1.3474,17374000.0,1.3474,2.58993086033319,False
23623799.41274272,1.0,1.0,1.4443,23691000.0,1.4443,3.1931482249540872,False
32053502.818977926,1.0,1.0,1.2389,32013000.0,1.2389,1.860725058903263,False
43491185.52081964,1.0,1.0,0.90433,43607000.0,0.90433,-0.8734612350317508,False
59010187.706738405,1.0,1.0,0.9414,58761000.0,0.9414,-0.5245161205883937,False
80066850.5924617,1.0,1.0,1.0057,80167000.0,1.0057,0.04936900256665048,False
108637183.05142008,1.0,1.0,0.88187,108720000.0,0.88187,-1.0919086248877343,False
147402295.13234866,1.0,1.0,0.79467,146970000.0,0.79467,-1.9962636390048552,False
200000000.0,1.0,1.0,0.6038,201610000.0,0.6038,-4.382137826258422,False
