frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
1000.0,1.0,1.0,1.06,999.9999,1.06,0.5061173052954052,False
1356.830976209873,1.0,1.0,1.06,1351.351,1.06,0.5061173052954052,False
1840.9902980026347,1.0,1.0,1.06,1851.852,1.06,0.5061173052954052,False
2497.91266323182,1.0,1.0,1.06,2500.0,1.06,0.5061173052954052,False
3389.24527733983,1.0,1.0,1.06,3378.378,1.06,0.5061173052954052,False
4598.632978267703,1.0,1.0,1.06,4629.629,1.06,0.5061173052954052,False
6239.567673133883,1.0,1.0,1.06,6250.0,1.06,0.5061173052954052,False
8466.038697065811,1.0,1.0,1.06,8474.576,1.06,0.5061173052954052,False
11486.98354997034,1.0,1.0,1.06,11363.64,1.06,0.5061173052954052,False
15585.895103813009,1.0,1.0,1.04,15384.62,1.04,0.3406667859756074,False
21147.425268811283,1.0,1.0,1.06,21276.6,1.06,0.5061173052954052,False
28693.48167180655,1.0,1.0,1.06,28571.43,1.06,0.5061173052954052,False
38932.204747617376,1.0,1.0,1.04,39062.5,1.04,0.3406667859756074,False
52824.42137371222,1.0,1.0,1.06,53191.49,1.06,0.5061173052954052,False
71673.81122021578,1.0,1.0,1.02,72463.77,1.02,0.17200343523835138,False
97249.24724660731,1.0,1.0,1.04,96153.84,1.04,0.3406667859756074,False
131950.7910772895,1.0,1.0,1.06,131579.0,1.06,0.5061173052954052,False
179034.9206690637,1.0,1.0,1.06,181818.2,1.06,0.5061173052954052,False
242920.12618706233,1.0,1.0,1.06,243902.5,1.06,0.5061173052954052,False
329601.55195541796,1.0,1.0,1.02,333333.3,1.02,0.17200343523835138,False
447213.59549995797,1.0,1.0,1.0,446428.6,1.0,0.0,False
606793.2593565352,1.0,1.0,0.98,609756.1,0.98,-0.175478486150103,False
823315.8904502982,1.0,1.0,0.9,833333.3,0.9,-0.9151498112135024,False
1117100.5033687765,1.0,1.0,0.82,1111111.0,0.82,-1.7237229523256667,False
1515716.5665104007,1.0,1.0,0.72,1515152.0,0.72,-2.8533500713746314,False
2056571.1885957795,1.0,1.0,0.6,2083333.0,0.6,-4.436974992327128,False
2790419.49346751,1.0,1.0,0.48,2816902.0,0.48,-6.375175252488256,False
3786127.6053565806,1.0,1.0,0.38,3731343.0,0.38,-8.404328067663796,False
5137135.214831118,1.0,1.0,0.3,5208334.0,0.3,-10.457574905606752,False
6970224.188461421,1.0,1.0,0.26,6944445.0,0.26,-11.70053304058364,False
9457416.09003176,1.0,1.0,0.2,nan,0.2,-13.979400086720375,False
12832115.105860751,1.0,1.0,0.16,nan,0.16,-15.917600346881503,False
17411011.265922498,1.0,1.0,0.14,nan,0.14,-17.07743928643524,False
23623799.41274272,1.0,1.0,0.14,nan,0.14,-17.07743928643524,False
32053502.818977926,1.0,1.0,0.12,nan,0.12,-18.416375079047505,False
43491185.52081964,1.0,1.0,0.09999999,nan,0.09999999,-20.00000086858901,False
59010187.706738405,1.0,1.0,0.09999999,nan,0.09999999,-20.00000086858901,False
80066850.5924617,1.0,1.0,0.09999999,nan,0.09999999,-20.00000086858901,False
108637183.05142008,1.0,1.0,0.09999999,nan,0.09999999,-20.00000086858901,True
147402295.13234866,1.0,1.0,0.09999999,nan,0.09999999,-20.00000086858901,True
200000000.0,1.0,1.0,0.06,nan,0.06,-24.436974992327126,True
