frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
49999.99999999999,1,1,1.08,50000.0,1.08,0.6684751097389946,False
60463.844021798766,1,1,1.08,60975.61,1.08,0.6684751097389946,False
73117.52867784807,1,1,1.06,73529.41,1.06,0.5061173052954052,False
88419.33698473609,1,1,1.08,87719.3,1.08,0.6684751097389946,False
106923.4599991187,1,1,1.1,106383.0,1.1,0.8278537031645016,False
129300.06815315508,1,1,1.1,128205.1,1.1,0.8278537031645016,False
156359.58305640638,1,1,1.1,156250.0,1.1,0.8278537031645016,False
189082.02882472053,1,1,1.1,188679.3,1.1,0.8278537031645016,False
228652.52596366324,1,1,1.1,232558.1,1.1,0.8278537031645016,False
276504.213301144,1,1,1.1,277777.8,1.1,0.8278537031645016,False
334370.152488211,1,1,1.08,337837.8,1.08,0.6684751097389946,False
404346.09491184517,1,1,1.1,403225.8,1.1,0.8278537031645016,False
488966.384271464,1,1,1.1,480769.2,1.1,0.8278537031645016,False
591295.7438098544,1,1,1.1,581395.4,1.1,0.8278537031645016,False
715040.272489449,1,1,1.08,714285.8,1.08,0.6684751097389946,False
864681.6701021307,1,1,1.1,862068.9,1.1,0.8278537031645016,False
1045639.552591274,1,1,1.1,1063830.0,1.1,0.8278537031645016,False
1264467.7362180424,1,1,1.1,1250000.0,1.1,0.8278537031645016,False
1529091.5994656943,1,1,1.1,1526718.0,1.1,0.8278537031645016,False
1849095.119302727,1,1,1.1,1851852.0,1.1,0.8278537031645016,False
2236067.9774997896,1,1,1.1,2222222.0,1.1,0.8278537031645016,False
2704025.3082737266,1,1,1.1,2702703.0,1.1,0.8278537031645016,False
3269915.2894091723,1,1,1.1,3225807.0,1.1,0.8278537031645016,False
3954232.960466624,1,1,1.12,3937008.0,1.12,0.9843604534036331,False
4781762.498950181,1,1,1.1,4807692.0,1.1,0.8278537031645016,False
5782474.837716209,1,1,1.12,5747127.0,1.12,0.9843604534036331,False
6992613.132952981,1,1,1.14,7042254.0,1.14,1.1380970267294512,False
8456005.395512996,1,1,1.14,8333334.0,1.14,1.1380970267294512,False
10225651.825635713,1,1,1.2,10416670.0,1.2,1.5836249209524964,False
12365644.340129191,1,1,1.24,12195120.0,1.24,1.8684337032447011,False
14953487.812212205,1,1,1.3,14925370.0,1.3,2.2788670461367357,False
18082907.093189355,1,1,1.38,18181820.0,1.38,2.7975817280247295,False
21867241.478865553,1,1,1.5,21739130.0,1.5,3.5218251811136247,False
26443549.559302647,1,1,1.52,27027030.0,1.52,3.6368717588954507,False
31977573.11872762,1,1,1.34,32258070.0,1.34,2.542095967296153,False
38669739.864928246,1,1,1.1,39682540.0,1.1,0.8278537031645016,False
46762422.3911311,1,1,0.94,47169810.0,0.94,-0.5374429280060273,False
56548716.27077632,1,1,0.96,56818180.0,0.96,-0.35457533920863205,False
68383055.20458333,1,1,1.18,67567570.0,1.18,1.4376401461225072,False
82694047.67247963,1,1,0.98,83333340.0,0.98,-0.175478486150103,False
100000000.0,1,1,0.76,100000000.0,0.76,-2.383728154384173,False
