frequency_hz,v_requested_vpp,v_nominal_vpp,v_scope_vpp,f_scope_hz,ratio,ratio_db,scope_limited
1000.0,1.0,1.0,1.0553,1000.8,1.0553,0.46751876279124815,False
1356.830976209873,1.0,1.0,1.0487,1350.1,1.0487,0.4130253600868362,False
1840.9902980026347,1.0,1.0,1.0547,1844.2,1.0547,0.4625789202099137,False
2497.91266323182,1.0,1.0,1.0511,2504.0,1.0511,0.4328807217488614,False
3389.24527733983,1.0,1.0,1.0505,3374.6,1.0505,0.4279211348394276,False
4598.632978267703,1.0,1.0,1.0485,4625.3,1.0485,0.4113686960272529,False
6239.567673133883,1.0,1.0,1.0443,6265.0,1.0443,0.37650556007901637,False
8466.038697065811,1.0,1.0,1.057,8483.5,1.057,0.48149974614852487,False
11486.98354997034,1.0,1.0,1.0545,11502.0,1.0545,0.46093168151010394,False
15585.895103813009,1.0,1.0,1.0519,15562.0,1.0519,0.43948910220120385,False
21147.425268811283,1.0,1.0,1.0488,21030.0,1.0488,0.41385357364055686,False
28693.48167180655,1.0,1.0,1.0424,28588.0,1.0424,0.3606880540905655,False
38932.204747617376,1.0,1.0,1.0536,39087.0,1.0536,0.45351523907454866,False
52824.42137371222,1.0,1.0,1.0461,52826.0,1.0461,0.39146404191277967,False
71673.81122021578,1.0,1.0,1.0409,71695.0,1.0409,0.34818017072422036,False
97249.24724660731,1.0,1.0,1.0295,97405.0,1.0295,0.2525270190810043,False
131950.7910772895,1.0,1.0,1.0532,131440.0,1.0532,0.4502170086806102,False
179034.9206690637,1.0,1.0,1.045,179570.0,1.045,0.38232580894145557,False
242920.12618706233,1.0,1.0,1.0397,244760.0,1.0397,0.33816087944149836,False
329601.55195541796,1.0,1.0,1.028,329940.0,1.028,0.23986229318513877,False
447213.59549995797,1.0,1.0,1.0093,449080.0,1.0093,0.08040546506483255,False
606793.2593565352,1.0,1.0,0.957,605220.0,0.957,-0.38176124446312903,False
823315.8904502982,1.0,1.0,0.9012,823420.0,0.9012,-0.9035763389641356,False
1117100.5033687765,1.0,1.0,0.814,1120500.0,0.814,-1.787511902215976,False
1515716.5665104007,1.0,1.0,0.703,1521400.0,0.703,-3.0608934996035213,False
2056571.1885957795,1.0,1.0,0.59227,2053300.0,0.59227,-4.54960529870649,False
2790419.49346751,1.0,1.0,0.47927,2809300.0,0.47927,-6.388395098120422,False
3786127.6053565806,1.0,1.0,0.38053,3812600.0,0.38053,-8.392221977822764,False
5137135.214831118,1.0,1.0,0.2966,5153600.0,0.2966,-10.556577066152737,False
6970224.188461421,1.0,1.0,0.30113,5135800.0,0.30113,-10.424919517082019,False
9457416.09003176,1.0,1.0,0.1846,9318800.0,0.1846,-14.675366066202136,False
12832115.105860751,1.0,1.0,0.1542,nan,0.1542,-16.238312525701236,False
17411011.265922498,1.0,1.0,0.11753,nan,0.11753,-18.59702527695389,False
23623799.41274272,1.0,1.0,0.10993,nan,0.10993,-19.1776754406103,False
32053502.818977926,1.0,1.0,0.088667,nan,0.088667,-21.044759708112846,False
43491185.52081964,1.0,1.0,0.081933,nan,0.081933,-21.730822860680338,False
59010187.706738405,1.0,1.0,0.080867,nan,0.080867,-21.84457336051862,False
80066850.5924617,1.0,1.0,0.073533,nan,0.073533,-22.67035430633214,False
108637183.05142008,1.0,1.0,0.071867,nan,0.071867,-22.869409677134964,False
147402295.13234866,1.0,1.0,0.072,nan,0.072,-22.853350071374628,False
200000000.0,1.0,1.0,0.0606,nan,0.0606,-24.350547516674276,False
