# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,False,-0.0025972892,5124.8054,0.0,-539.4532,5124.8054,,,1.4999999999910918e-08,273322954668.2899,593398520000.0,9.000000000033287e-09,21182469.789383527,0.9948937708323292,809.1798000000001,5124.8054,,,,,
1,False,-0.0024256932,4585.3522,269.7266,-539.4532,4315.6256,0.000171596,5827.641669968997,8.000000000125962e-09,431562559993.205,431562560000.0,8.000000000125962e-09,24186585.8680413,0.988021291610769,0.0,4585.3522,,,,,
2,False,-0.0022162572,4855.0788,0.0,-539.4532,4855.0788,0.0002094359999999999,4774.72831795871,9.999999999940612e-09,345250048002.0504,647343840000.0,9.50000000042063e-09,26431936.375147186,0.9924963439480875,-1078.9064,4855.0788,,,,,
3,False,-0.0020679922,4585.3522,269.7266,-539.4532,4315.6256,0.0001482650000000003,6744.6801335446535,8.999999999599606e-09,359635466682.66626,431562560000.0,8.499999999862784e-09,28527818.584479537,0.9874075029433557,0.0,4585.3522,,,,,
4,False,-0.0018535822,5664.2586,0.0,-539.4532,5664.2586,0.00021440999999999995,4663.961568956673,1.6000000000035083e-08,283212929999.379,809179800000.0,9.000000000033287e-09,29770687.96322174,0.994501091635669,-809.1798000000001,5664.2586,,,,,
5,False,-0.0016914512,5394.532,0.0,-539.4532,5394.532,0.00016213100000000004,6167.85192221105,1.4000000000003593e-08,292846022857.0677,485507880000.0,8.000000000017542e-09,31206970.264946416,0.9897716502088965,-269.7266,5394.532,,,,,
6,False,-0.0015422431999999999,4855.0788,0.0,-539.4532,4855.0788,0.00014920800000000007,6702.053509195214,1.500000000012776e-08,258937535997.7946,485507880000.0,8.500000000079624e-09,31855130.281132728,0.9886242520895824,0.0,5124.8054,,,,,
7,False,-0.0014075542,4585.3522,0.0,-539.4532,4585.3522,0.0001346889999999999,7424.511281544897,1.2999999999879427e-08,265576960002.46323,431562560000.0,8.000000000125962e-09,32657022.867630627,0.9882086387130283,0.0,4585.3522,,,,,
8,False,-0.0012659222,4585.3522,269.7266,-539.4532,4315.6256,0.00014163200000000004,7060.5512878445525,1.4000000000003593e-08,231194228571.36926,431562560000.0,9.000000000033287e-09,33036577.630832914,0.9898265849235128,-269.7266,4585.3522,,,,,
9,False,-0.0011156561999999999,5124.8054,0.0,-539.4532,5124.8054,0.00015026600000000003,6654.865372073522,1.2000000000188943e-08,323671919994.90375,755234480000.0,8.000000000125962e-09,33328104.655253816,0.9917360503683631,0.0,5124.8054,,,,,
