# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.0023641202,5124.8054,-539.4532,-269.7266,5664.2586,,,1.2999999999662587e-08,348569760009.0471,593398520000.0001,7.5000000001723e-09,10087029.029591141,0.9948262269566809,809.1798000000001,5124.8054,,,,,
1,False,-0.0020674202,4045.8990000000003,-269.7266,-269.7266,4315.6256,0.0002967,3370.407819346141,8.999999999599606e-09,383611164461.5107,431562560000.0,9.000000000033287e-09,13820051.332909714,0.9912998742470044,0.0,4045.8990000000003,,,,,
2,False,-0.0017124631999999999,5933.9852,-809.1798000000001,-539.4532,6743.165,0.00035495700000000015,2817.242651926852,1.4999999999910918e-08,359635466668.8025,593398520000.0,1.1000000000064777e-08,17155372.645910557,0.9966422351540741,0.0,5933.9852,,,,,
3,False,-0.0013808752,6473.438400000001,-809.1798000000001,-809.1798000000001,7282.618200000001,0.00033158799999999985,3015.790680000484,1.3000000000096268e-08,448161119996.6814,863125119999.9999,1.0000000000157452e-08,19179416.587360498,0.9960749591973004,269.7266,6473.438400000001,,,,,
4,False,-0.0011837622,4045.8990000000003,-269.7266,0.0,4315.6256,0.00019711300000000006,5073.2321054420545,1.2999999999879427e-08,265576960002.46323,431562560000.0001,1.0500000000002695e-08,21926392.360532735,0.9871851854308766,-269.7266,4045.8990000000003,,,,,
5,False,-0.0010106342,4315.6256,-1078.9064,-269.7266,5394.532,0.00017312800000000004,5776.073194399518,8.000000000125962e-09,539453199991.5062,755234480000.0,1.4000000000003593e-08,23385171.6892027,0.9906400479649573,539.4532,4315.6256,,,,,
6,False,-0.0008038441999999998,5124.8054,-809.1798000000001,-269.7266,5933.9852,0.0002067900000000001,4835.82378258136,1.3000000000096268e-08,365168319997.2959,593398520000.0,1.1999999999755262e-08,25357950.998505566,0.9935393493966871,0.0,4855.0788,,,,,
7,False,-0.0005866952,5664.2586,-1618.3596000000002,-269.7266,7282.618200000001,0.00021714899999999981,4605.132881109288,9.000000000033287e-09,647343839997.606,863125119999.9999,9.000000000033287e-09,26856315.965309717,0.9947673370182121,269.7266,5664.2586,,,,,
8,False,-0.00042669119999999994,4855.0788,-809.1798000000001,-539.4532,5664.2586,0.00016000400000000005,6249.843753906151,1.1999999999755262e-08,377617240007.7015,431562560000.0,9.000000000033287e-09,28780984.400916368,0.989994754901238,269.7266,4585.3522,,,,,
9,False,-0.00024789319999999997,4855.0788,-539.4532,-539.4532,5394.532,0.00017879799999999998,5592.9037237553,1.1999999999755262e-08,359635466674.0014,431562560000.0,1.2000000000188943e-08,30132659.393640857,0.9936430625057907,-269.7266,4855.0788,,,,,
