# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.00221,5000.0,5400.0,5400.0,-400.0,,,5e-06,31999999.999999996,1400000000.0,,9266517.357222833,0.9675545705687946,200.0,4400.0,,,,,
1,False,-0.00192,3800.0,4000.0,4000.0,-200.0,0.0002900000000000001,3448.275862068964,5e-06,31999999.999999996,999999999.9999999,,14854408.749145582,0.9384186364431162,-1600.0,3400.0,0.0002149999999999999,,,,
2,False,-0.0015300000000000001,7000.0,7000.0,7000.0,0.0,0.00038999999999999994,2564.1025641025644,5e-06,31999999.999999996,1799999999.9999998,,18553110.04784691,0.9808734937019351,-1000.0,6600.0,5.5000000000000144e-05,,,,
3,False,-0.00123,6600.0,7000.0,7000.0,-400.0,0.00030000000000000014,3333.3333333333317,5e-06,31999999.999999996,1759999999.9999998,,20923436.58679136,0.9498772075967086,-2000.0,6000.0,8.5e-05,,,,
4,False,-0.00101,5200.0,5400.0,5400.0,-200.0,0.00021999999999999993,4545.454545454547,5e-06,31999999.999999996,1320000000.0,,23764686.81630339,0.9220025899249777,-1800.0,4400.0,7.499999999999998e-05,,,,
5,False,-0.00081,4600.0,4800.0,4800.0,-200.0,0.0002000000000000001,4999.999999999998,5e-06,31999999.999999996,1160000000.0,,25867162.70926799,0.9331224944177916,-1200.0,4200.0,0.00022499999999999994,,,,
6,False,-0.0005699999999999998,5800.0,6000.0,6000.0,-200.0,0.0002400000000000002,4166.666666666663,5e-06,31999999.999999996,1479999999.9999998,,27046561.825470224,0.9739623444393724,-1000.0,5200.0,0.0001749999999999998,,,,
7,False,-0.0003899999999999997,5000.0,5200.0,5200.0,-200.0,0.00018000000000000004,5555.555555555555,5e-06,31999999.999999996,1400000000.0,,29934300.993124496,0.946541767868782,-1400.0,4400.0,0.0005249999999999999,,,,
8,False,-4.999999999999796e-06,7400.0,8200.0,8200.0,-800.0,0.0003849999999999999,2597.402597402598,5e-06,31999999.999999996,2160000000.0,,18961024.18207681,0.8083201381049884,-1800.0,7800.0,8.99999999999998e-05,,,,
9,False,0.00013999999999999993,4600.0,4800.0,4800.0,-200.0,0.00014499999999999973,6896.551724137944,5e-06,31999999.999999996,1240000000.0,,35360195.36019535,0.8267403823809912,-2600.0,4200.0,0.0015150000000000007,,,,
10,False,0.0003600000000000001,6600.0,6600.0,6600.0,0.0,0.00022000000000000014,4545.454545454542,5e-06,31999999.999999996,1639999999.9999998,,31637630.662020903,0.9761738222494066,-1400.0,5800.0,5.00000000000023e-06,,,,
11,False,0.0005200000000000001,5200.0,5200.0,5200.0,0.0,0.00015999999999999999,6250.000000000001,5e-06,31999999.999999996,1320000000.0,,35719688.54282537,0.9301616009114915,-1600.0,4400.0,5.00000000000023e-06,,,,
12,False,0.0007300000000000002,6200.0,6200.0,6200.0,0.0,0.00021000000000000012,4761.90476190476,5e-06,31999999.999999996,1639999999.9999998,,32465290.8067542,0.973715632921176,-1400.0,5600.0,0.0009250000000000005,,,,
13,False,0.00098,7800.0,7800.0,7800.0,0.0,0.0002499999999999998,4000.000000000003,5e-06,31999999.999999996,1999999999.9999998,,31458966.56534953,0.9605673240771987,-2000.0,7200.0,0.0006750000000000007,,,,
14,False,0.00116,5400.0,5400.0,5400.0,0.0,0.00018000000000000004,5555.555555555555,5e-06,31999999.999999996,1360000000.0,,31804430.86325438,0.9022351308329454,-2200.0,5000.0,0.0004950000000000006,,,,
15,False,0.0013000000000000004,4000.0,4400.0,4400.0,-400.0,0.00014000000000000037,7142.857142857124,5e-06,31999999.999999996,1120000000.0,,31562393.16239321,0.9192013942813763,-1400.0,3400.0,0.0003550000000000003,,,,
16,False,0.00148,5000.0,4800.0,4800.0,200.0,0.0001799999999999996,5555.5555555555675,5e-06,31999999.999999996,1200000000.0,,31162719.633307844,0.9503377471376797,-1200.0,4200.0,0.00017500000000000068,,,,
17,False,0.0016800000000000005,5400.0,5400.0,5400.0,0.0,0.00020000000000000052,4999.999999999987,5e-06,31999999.999999996,1440000000.0,,29272349.27234932,0.9443537164716787,-1200.0,5000.0,0.0004949999999999998,,,,
18,False,0.00182,4000.0,4000.0,4000.0,0.0,0.0001399999999999995,7142.857142857169,5e-06,31999999.999999996,999999999.9999999,,31822222.222222198,0.8948927643294202,-1800.0,3000.0,0.0003550000000000003,,,,
19,False,0.0020700000000000002,6600.0,7000.0,7000.0,-400.0,0.0002500000000000002,3999.9999999999964,5e-06,31999999.999999996,1759999999.9999998,,27878853.66912721,0.9752478625323275,-1000.0,6000.0,0.00010500000000000006,,,,
20,False,0.0023200000000000004,6600.0,6600.0,6600.0,0.0,0.0002500000000000002,3999.9999999999964,5e-06,31999999.999999996,1679999999.9999998,,26393834.129396435,0.9485379638396564,-1800.0,5800.0,0.0001749999999999998,,,,
21,False,0.00252,5000.0,5000.0,5000.0,0.0,0.00019999999999999966,5000.000000000008,5e-06,31999999.999999996,1240000000.0,,25009300.798774466,0.9112742154842894,-1800.0,4400.0,3.500000000000031e-05,,,,
22,False,0.0027700000000000003,5000.0,5400.0,5400.0,-400.0,0.0002500000000000002,3999.9999999999964,5e-06,31999999.999999996,1320000000.0,,22244897.959183674,0.954763842534333,-1200.0,4400.0,0.00028499999999999966,,,,
23,False,0.0032300000000000007,7600.0,7600.0,7600.0,0.0,0.00046000000000000034,2173.913043478259,5e-06,31999999.999999996,1959999999.9999998,,18000905.461579625,0.977643769013919,-1200.0,7200.0,6.999999999999975e-05,,,,
