frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,15,14.764198,6.820477,21.851678,0.862483,21.578435
1,0.033333,0,15,14.764198,6.820477,21.851678,0.862483,21.578435
2,0.066667,0,15,14.626873,6.642416,21.675947,0.670190,21.534482
3,0.100000,0,15,14.663343,6.660758,21.726203,0.675458,21.588367
4,0.133333,0,15,14.621667,6.644220,21.664047,0.677347,21.523608
5,0.166667,0,15,15.183603,6.902722,22.444940,0.719571,22.386297
6,0.200000,0,15,15.066637,6.876040,22.265885,0.756572,22.177454
7,0.233333,0,15,15.280530,7.007426,22.550456,0.826717,22.464417
8,0.266667,0,15,14.816845,6.857865,21.877969,0.897153,21.675414
9,0.300000,0,15,15.262395,7.062307,22.494972,0.930293,22.361922
10,0.333333,0,15,15.169612,7.034292,22.353431,0.948883,22.206520
11,0.366667,0,15,15.339025,7.134983,22.576936,0.999609,22.440530
12,0.400000,0,15,14.946878,6.998547,22.008831,1.043567,21.788237
13,0.433333,0,15,14.871953,6.792816,21.771428,0.800689,22.043741
14,0.466667,0,15,14.836174,6.788723,21.710007,0.819786,21.978730
15,0.500000,0,15,14.840292,6.791020,21.715809,0.820704,21.984363
16,0.533333,0,15,14.834562,6.788698,21.707057,0.820935,21.975694
17,0.566667,0,15,15.346384,7.021874,22.409170,0.857854,22.772129
18,0.600000,0,15,15.217843,6.983195,22.216242,0.883125,22.554161
19,0.633333,0,15,15.408036,7.098146,22.464520,0.943619,22.815970
20,0.666667,0,15,14.944213,6.941433,21.806661,0.999784,22.026195
21,0.700000,0,15,14.946411,6.942310,21.809720,0.999740,22.029774
22,0.733333,0,15,14.945597,6.941898,21.808482,0.999643,22.028665
23,0.766667,0,15,14.994868,6.920595,21.912644,0.927171,22.144789
24,0.800000,0,15,14.407717,6.485183,21.140913,0.616310,21.465929
25,0.833333,0,15,15.010668,6.755738,22.003306,0.645665,22.383032
26,0.866667,0,15,14.884863,6.727152,21.818238,0.683997,22.152355
27,0.900000,0,15,15.107216,6.853463,22.118655,0.739939,22.463054
28,0.933333,0,15,14.680916,6.713782,21.504677,0.800372,21.737699
29,0.966667,0,15,15.182230,6.939194,22.209593,0.828143,22.508954
30,1.000000,0,15,15.073376,6.907371,22.041224,0.852083,22.326821
31,1.033333,0,15,15.263822,7.019090,22.295770,0.906097,22.589597
32,1.066667,0,15,14.837265,6.874944,21.668390,0.962598,21.880808
33,1.100000,0,15,14.839068,6.875644,21.671342,0.962435,21.883426
34,1.133333,0,15,14.838410,6.875245,21.670760,0.962163,21.882309
35,1.166667,0,15,14.627174,6.649106,21.547607,0.708517,21.625399
36,1.200000,0,15,14.615193,6.645751,21.527567,0.711710,21.606302
37,1.233333,0,15,15.082739,6.854333,22.179113,0.736337,22.332768
38,1.266667,0,15,14.978212,6.822708,22.024251,0.756178,22.154207
39,1.300000,0,15,15.153103,6.922412,22.257437,0.801408,22.400462
40,1.333333,0,15,14.745007,6.782908,21.666259,0.851006,21.717757
41,1.366667,0,15,15.230353,7.001647,22.346977,0.879062,22.465021
42,1.400000,0,15,15.114224,6.965802,22.175309,0.899919,22.267445
43,1.433333,0,15,15.299511,7.072426,22.418492,0.950226,22.529817
44,1.466667,0,15,14.876221,6.928503,21.807017,1.002501,21.819144
45,1.500000,0,15,14.801840,6.765915,21.681868,0.802025,21.921625
46,1.533333,0,15,14.801753,6.765665,21.681369,0.801774,21.922115
47,1.566667,0,15,14.871352,6.801255,21.780549,0.812024,22.021482
48,1.600000,0,15,14.794082,6.772516,21.671643,0.817138,21.893466
49,1.633333,0,15,15.239832,6.973212,22.283612,0.845483,22.590401
50,1.666667,0,15,15.123422,6.934035,22.114911,0.860604,22.394752
51,1.700000,0,15,15.284451,7.028041,22.324948,0.906697,22.621708
52,1.733333,0,15,14.871330,6.882980,21.743941,0.947125,21.922924
53,1.766667,0,15,14.945741,6.913767,21.853448,0.946026,22.037747
54,1.800000,0,15,14.906070,6.893865,21.804379,0.939154,21.974676
55,1.833333,0,15,14.908877,6.894498,21.810187,0.937924,21.978519
56,1.866667,0,15,14.449705,6.556258,21.232323,0.692743,21.424048
