frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,15,15.421991,7.339569,22.232867,1.364963,22.668143
1,0.033333,0,15,15.515260,7.393033,22.349073,1.391318,22.805387
2,0.066667,0,15,15.494484,7.380959,22.322657,1.385307,22.775487
3,0.100000,0,15,15.526193,7.404396,22.359348,1.403064,22.816168
4,0.133333,0,15,15.440835,7.361881,22.249543,1.389674,22.683288
5,0.166667,0,15,15.440835,7.361881,22.249543,1.389674,22.683288
6,0.200000,0,15,15.440835,7.361881,22.249543,1.389674,22.683288
7,0.233333,0,15,15.440835,7.361881,22.249543,1.389674,22.683288
8,0.266667,0,15,14.921870,6.822189,21.586185,0.870002,22.309423
9,0.300000,0,15,15.460149,7.060379,22.334947,0.895621,23.149881
10,0.333333,0,15,15.359442,7.032077,22.186747,0.917890,22.973689
11,0.366667,0,15,15.565950,7.152197,22.459457,0.975590,23.262803
12,0.400000,0,15,15.116608,7.000363,21.811522,1.032299,22.506003
13,0.433333,0,15,15.553787,7.195409,22.412304,1.057187,23.191871
14,0.466667,0,15,15.449715,7.160370,22.262332,1.070498,23.016314
15,0.500000,0,15,15.611912,7.255079,22.473508,1.117042,23.245186
16,0.533333,0,15,15.231586,7.120498,21.936184,1.153183,22.605391
17,0.566667,0,15,15.232058,7.120574,21.936617,1.153047,22.606512
18,0.600000,0,15,15.166981,6.956011,22.061482,0.891774,22.547686
19,0.633333,0,15,15.220736,6.982655,22.135215,0.899004,22.627989
20,0.666667,0,15,15.155813,6.957557,22.042096,0.902173,22.523168
21,0.700000,0,15,15.592767,7.154151,22.646584,0.928736,23.202980
22,0.733333,0,15,15.487911,7.116905,22.495820,0.939053,23.028859
23,0.766667,0,15,15.644287,7.209180,22.702393,0.984776,23.245692
24,0.800000,0,15,15.229554,7.063136,22.121826,1.024121,22.542714
25,0.833333,0,15,15.761525,7.314797,22.855391,1.076134,23.353050
26,0.866667,0,15,15.502516,7.264651,22.465299,1.170572,22.871675
27,0.900000,0,15,15.613148,7.330142,22.607885,1.204023,23.027536
28,0.933333,0,15,15.401426,7.256613,22.298580,1.228528,22.677171
29,0.966667,0,15,15.074190,6.907700,21.956438,0.870834,22.395297
30,1.000000,0,15,15.018842,6.896316,21.872484,0.890105,22.293937
31,1.033333,0,15,15.061551,6.917848,21.933673,0.895845,22.355135
32,1.066667,0,15,15.005313,6.895337,21.856208,0.896694,22.263038
33,1.100000,0,15,15.438313,7.090614,22.452407,0.924350,22.938183
34,1.133333,0,15,15.330229,7.050987,22.291970,0.934163,22.764552
35,1.166667,0,15,15.483489,7.141296,22.495660,0.978509,22.976299
36,1.200000,0,15,15.072412,6.994364,21.908549,1.016671,22.292015
37,1.233333,0,15,15.075016,6.995377,21.911887,1.016640,22.296520
38,1.266667,0,15,15.073491,6.994536,21.909667,1.016330,22.294475
39,1.300000,0,15,14.570583,6.575182,21.132496,0.703252,21.876003
40,1.333333,0,15,14.570599,6.575194,21.132523,0.703260,21.876015
41,1.366667,0,15,15.180149,6.852499,21.987720,0.742461,22.810265
42,1.400000,0,15,15.060672,6.826401,21.801829,0.782711,22.597476
43,1.433333,0,15,15.292370,6.964252,22.107280,0.852352,22.917477
44,1.466667,0,15,14.834554,6.815459,21.433012,0.922395,22.148256
45,1.500000,0,15,15.276353,7.013538,22.052640,0.946328,22.830092
46,1.533333,0,15,15.176613,6.980872,21.903063,0.961785,22.664991
47,1.566667,0,15,15.338034,7.075251,22.119896,1.006841,22.887365
48,1.600000,0,15,14.949935,6.938408,21.559185,1.047189,22.243430
49,1.633333,0,15,14.951056,6.938872,21.561403,1.047049,22.244718
50,1.666667,0,15,14.904003,6.790531,21.624746,0.818367,22.268895
51,1.700000,0,15,14.915098,6.795823,21.638210,0.819920,22.287165
52,1.733333,0,15,14.901228,6.790172,21.616975,0.820439,22.266271
53,1.766667,0,15,15.338717,6.987614,22.211370,0.850344,22.954436
54,1.800000,0,15,15.230434,6.951413,22.053517,0.864988,22.772797
55,1.833333,0,15,15.386906,7.044559,22.260512,0.911942,22.988265
56,1.866667,0,15,14.987668,6.905639,21.701288,0.952487,22.309230
57,1.900000,0,15,15.302013,7.242469,22.027012,1.299316,22.579711
58,1.933333,0,15,15.301949,7.242462,22.026935,1.299344,22.579569
59,1.966667,0,15,15.313751,7.250176,22.041990,1.304078,22.595184
60,2.000000,0,15,15.293504,7.244042,22.012297,1.307843,22.560371
61,2.033333,0,15,13.830455,7.666407,17.962724,3.341778,20.186864
62,2.066667,0,15,13.825333,7.661242,17.962190,3.335588,20.178223
63,2.100000,0,15,14.227166,8.220012,18.205533,4.016098,20.459867
64,2.133333,0,15,14.175404,8.208370,18.120830,4.033924,20.371458
65,2.166667,0,15,14.966438,8.720823,19.110220,4.348394,21.440701
66,2.200000,0,15,14.918562,8.783201,18.979831,4.490004,21.285850
