frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,15,14.953360,6.857730,21.786311,0.870971,22.202798
1,0.033333,0,15,15.632790,7.179297,22.710062,0.940501,23.247808
2,0.066667,0,15,15.488298,7.149892,22.498674,0.989600,22.976619
3,0.100000,0,15,15.582756,7.208248,22.619077,1.022246,23.106947
4,0.133333,0,15,15.230807,7.171267,22.069966,1.203190,22.419263
5,0.166667,0,15,15.537456,7.330859,22.477091,1.259195,22.876083
6,0.200000,0,15,15.471068,7.303001,22.382043,1.258988,22.772173
7,0.233333,0,15,15.588026,7.382135,22.527901,1.310811,22.925366
8,0.266667,0,15,15.324540,7.274824,22.158045,1.313435,22.502141
9,0.300000,0,15,14.914660,6.821586,21.587684,0.871166,22.285130
10,0.333333,0,15,14.892661,6.816592,21.562817,0.876240,22.238926
11,0.366667,0,15,14.899986,6.820265,21.574634,0.876904,22.248419
12,0.400000,0,15,14.890382,6.816378,21.562778,0.876683,22.231685
13,0.433333,0,15,15.405335,7.048180,22.268128,0.909704,23.038174
14,0.466667,0,15,15.284895,7.010759,22.088132,0.931380,22.835174
15,0.500000,0,15,15.478719,7.125814,22.339198,0.990202,23.106756
16,0.533333,0,15,15.024620,6.969100,21.688073,1.041620,22.344168
17,0.566667,0,15,15.026890,6.969982,21.691146,1.041556,22.347968
18,0.600000,0,15,15.025565,6.969170,21.688967,1.041215,22.346514
19,0.633333,0,15,15.026661,6.969471,21.690972,1.040877,22.348134
20,0.666667,0,15,14.773911,6.684481,21.525766,0.718872,22.077096
21,0.700000,0,15,15.345394,6.940528,22.347576,0.745126,22.943479
22,0.733333,0,15,15.228595,6.911693,22.175193,0.777267,22.733326
23,0.766667,0,15,15.437625,7.031661,22.461613,0.830888,23.020374
24,0.800000,0,15,15.008581,6.889364,21.844134,0.888941,22.292669
25,0.833333,0,15,15.506053,7.114467,22.545384,0.918327,23.054449
26,0.866667,0,15,15.395375,7.081536,22.383403,0.939763,22.862960
27,0.900000,0,15,15.583515,7.193380,22.634752,0.995446,23.120346
28,0.933333,0,15,15.157214,7.047638,22.022767,1.046017,22.402858
29,0.966667,0,15,15.159209,7.048479,22.025614,1.046031,22.405981
30,1.000000,0,15,15.158235,7.047978,22.024306,1.045866,22.404532
31,1.033333,0,15,15.039628,6.874282,21.996051,0.821855,22.300977
32,1.066667,0,15,15.038005,6.873992,21.994018,0.822396,22.297600
33,1.100000,0,15,15.545518,7.133907,22.693200,0.902989,23.040363
34,1.133333,0,15,15.230655,7.110140,22.187700,1.082469,22.421798
35,1.166667,0,15,15.230693,7.110143,22.187764,1.082447,22.421868
36,1.200000,0,15,15.230655,7.110140,22.187700,1.082469,22.421798
37,1.233333,0,15,15.613006,7.306771,22.707421,1.145991,22.985608
38,1.266667,0,15,15.542210,7.285143,22.599084,1.159859,22.867688
39,1.300000,0,15,15.689482,7.386132,22.784450,1.226833,23.057164
40,1.333333,0,15,15.369853,7.262813,22.316580,1.244876,22.548103
41,1.366667,0,15,15.369853,7.262813,22.316580,1.244876,22.548103
42,1.400000,0,15,14.963440,6.854429,21.809230,0.857437,22.223652
43,1.433333,0,15,15.040961,6.892290,21.916434,0.866797,22.339652
44,1.466667,0,15,14.953746,6.858910,21.788109,0.872283,22.200846
45,1.500000,0,15,15.426891,7.071929,22.439502,0.901957,22.939214
46,1.533333,0,15,15.306127,7.031793,22.264439,0.918442,22.735501
47,1.566667,0,15,15.480465,7.134332,22.491108,0.969691,22.980598
48,1.600000,0,15,15.053357,6.986072,21.887339,1.014825,22.257906
49,1.633333,0,15,15.058291,6.988212,21.894564,1.014914,22.265395
50,1.666667,0,15,15.055980,6.987096,21.891975,1.014521,22.261443
51,1.700000,0,15,15.058152,6.987735,21.896182,1.013865,22.264411
52,1.733333,0,15,14.697145,6.687164,21.474626,0.760069,21.856740
53,1.766667,0,15,15.258093,6.937347,22.272525,0.785974,22.715780
54,1.800000,0,15,15.146302,6.904285,22.109378,0.807837,22.521689
55,1.833333,0,15,15.356979,7.026385,22.393818,0.864652,22.812466
56,1.866667,0,15,14.905987,6.875779,21.742827,0.924493,22.050640
57,1.900000,0,15,15.363972,7.081476,22.382717,0.950398,22.758802
58,1.933333,0,15,15.249182,7.046154,22.216628,0.970399,22.560519
59,1.966667,0,15,15.411243,7.142056,22.434113,1.017466,22.782151
60,2.000000,0,15,15.025804,7.008586,21.885052,1.059619,22.132742
61,2.033333,0,15,15.026507,7.008964,21.885982,1.059768,22.133771
62,2.066667,0,15,15.025782,7.008597,21.885009,1.059654,22.132683
63,2.100000,0,15,15.025782,7.008597,21.885009,1.059654,22.132683
64,2.133333,0,15,13.515356,6.178805,19.282837,0.846141,20.417089
65,2.166667,0,15,13.998123,6.455876,19.944186,0.970014,21.080168
66,2.200000,0,15,14.042363,6.544522,19.943107,1.093210,21.090771
67,2.233333,0,15,14.285662,6.753680,20.227485,1.274443,21.355059
68,2.266667,0,15,13.946569,6.668555,19.679169,1.376007,20.784530
69,2.300000,0,15,14.431017,6.951155,20.321730,1.512016,21.459306
70,2.333333,0,15,14.388062,6.950860,20.241986,1.543439,21.378761
71,2.366667,0,15,14.593105,7.106903,20.496058,1.661571,21.621687
72,2.400000,0,15,14.189798,6.965633,19.884808,1.711191,20.973395
73,2.433333,0,15,14.190473,6.965953,19.886041,1.711192,20.974187
74,2.466667,0,15,14.348473,8.614358,18.115859,4.608107,20.321452
75,2.500000,0,15,14.692398,8.907521,18.486405,4.867272,20.723517
76,2.533333,0,15,14.857683,9.394980,18.397586,5.589090,20.586375
77,2.566667,0,15,15.571001,9.843833,19.297939,5.850270,21.564793
78,2.600000,0,15,15.481391,9.843726,19.136861,5.915461,21.391852
79,2.633333,0,15,15.786254,10.090843,19.492633,6.119400,21.746730
80,2.666667,0,15,15.263794,9.895673,18.749422,6.154147,20.887815
81,2.700000,0,15,15.848996,10.278570,19.476186,6.393812,21.676989
82,2.733333,0,15,15.735595,10.251617,19.296600,6.429308,21.480877
83,2.766667,0,15,15.952513,10.419753,19.556355,6.561006,21.740179
84,2.800000,0,15,15.507968,10.223213,18.946897,6.538169,21.038838
85,2.833333,0,15,15.489582,10.401759,18.770747,6.860501,20.837499
86,2.866667,0,15,15.502510,10.489827,18.734077,7.001118,20.772337
87,2.900000,0,15,15.538420,10.514302,18.776552,7.017810,20.820898
88,2.933333,0,15,15.514920,10.503025,18.746598,7.014729,20.783432
89,2.966667,0,15,16.074747,10.844155,19.468432,7.199063,21.556747
90,3.000000,0,15,15.997941,10.806777,19.360808,7.190305,21.442708
91,3.033333,0,15,16.226247,10.975900,19.643294,7.314738,21.720709
92,3.066667,0,15,15.672433,10.696700,18.907279,7.227790,20.882232
93,3.100000,0,15,16.302316,11.035106,19.742196,7.359595,21.805156
94,3.133333,0,15,16.136102,10.964138,19.502686,7.357513,21.548109
95,3.166667,0,15,16.149390,10.971841,19.520859,7.361049,21.566261
96,3.200000,0,15,15.776055,10.852840,18.973321,7.421294,20.933548
97,3.233333,0,15,15.782298,10.854852,18.981804,7.420469,20.944620
98,3.266667,0,15,15.536198,10.789223,18.263752,7.558090,20.786750
99,3.300000,0,15,15.636491,10.853160,18.388141,7.596581,20.924749
100,3.333333,0,15,15.562563,10.835593,18.277790,7.618258,20.791641
101,3.366667,0,15,16.185867,11.206752,19.083009,7.809703,21.664889
102,3.400000,0,15,16.085680,11.163506,18.938995,7.807641,21.510404
103,3.433333,0,15,16.336333,11.347406,19.246768,7.942006,21.820226
104,3.466667,0,15,15.755579,11.076750,18.458394,7.888853,20.919491
105,3.500000,0,15,16.309304,11.422886,19.170700,8.085107,21.672106
106,3.533333,0,15,16.173190,11.339119,18.991266,8.039864,21.488439
107,3.566667,0,15,16.356723,11.472305,19.220868,8.135038,21.714262
108,3.600000,0,15,15.860264,11.193611,18.564410,8.012185,21.004197
109,3.633333,0,15,15.900468,11.215310,18.615191,8.021300,21.064912
110,3.666667,0,15,15.873347,11.200706,18.579084,8.015608,21.025349
111,3.700000,0,15,15.563713,11.152313,17.799487,8.214875,20.676777
112,3.733333,0,15,15.563217,11.152112,17.798766,8.214887,20.675996
113,3.766667,0,15,16.218469,11.562171,18.643808,8.447372,21.564226
114,3.800000,0,15,16.144343,11.532494,18.535659,8.449801,21.447569
115,3.833333,0,15,16.421599,11.739543,18.875525,8.604200,21.785073
116,3.866667,0,15,15.849089,11.491592,18.084912,8.584071,20.878282
117,3.900000,0,15,16.418604,11.847803,18.798802,8.790330,21.666679
118,3.933333,0,15,16.283146,11.764725,18.619080,8.745998,21.484359
119,3.966667,0,15,16.476305,11.904255,18.858801,8.845586,21.724527
120,4.000000,0,15,15.971473,11.619285,18.205496,8.715105,20.993818
121,4.033333,0,15,16.475752,11.954892,18.829486,8.930924,21.666846
122,4.066667,0,15,16.347728,11.870097,18.665180,8.878052,21.499952
123,4.100000,0,15,16.524102,12.001257,18.883062,8.975047,21.714198
124,4.133333,0,15,16.053691,11.710505,18.291235,8.810553,21.059286
125,4.166667,0,15,16.057977,11.711720,18.297912,8.809541,21.066477
126,4.200000,0,15,15.829473,11.300552,18.325786,8.240977,20.921656
127,4.233333,0,15,15.906321,11.350325,18.420564,8.271802,21.026596
128,4.266667,0,15,15.824516,11.312949,18.306835,8.266064,20.900648
129,4.300000,0,15,16.459207,11.677949,19.141981,8.437560,21.798081
130,4.333333,0,15,16.314252,11.599056,18.948931,8.405846,21.587980
131,4.366667,0,15,16.547713,11.760168,19.250162,8.511991,21.880985
132,4.400000,0,15,15.948470,11.455736,18.457360,8.413506,20.974545
133,4.433333,0,15,16.425103,11.727439,19.086508,8.538127,21.650673
134,4.466667,0,15,16.134905,11.680220,18.680017,8.651206,21.073491
135,4.500000,0,15,16.138016,11.682097,18.684144,8.652176,21.077728
136,4.533333,0,15,16.132052,11.680096,18.676046,8.652842,21.067267
137,4.566667,0,15,16.133490,11.680662,18.678317,8.652741,21.069412
138,4.600000,0,15,15.614104,11.023354,18.150357,7.920729,20.771225
139,4.633333,0,15,15.675352,11.063043,18.226561,7.945183,20.854312
140,4.666667,0,15,15.639928,11.051650,18.177869,7.950029,20.791887
141,4.700000,0,15,16.127182,11.345959,18.803766,8.106940,21.470839
142,4.733333,0,15,16.081653,11.321840,18.742681,8.098105,21.404172
143,4.766667,0,15,16.277971,11.461301,18.986769,8.195567,21.651577
144,4.800000,0,15,15.759077,11.189952,18.303370,8.097578,20.876281
145,4.833333,0,15,16.365195,11.540677,19.099971,8.264914,21.730700
146,4.866667,0,15,16.230058,11.466934,18.919029,8.235259,21.535887
147,4.900000,0,15,16.456832,11.622334,19.209867,8.337043,21.823585
148,4.933333,0,15,15.903216,11.335637,18.480361,8.236949,20.992337
149,4.966667,0,15,15.909355,11.338822,18.487925,8.238183,21.001956
150,5.000000,0,15,15.905035,11.335984,18.482616,8.236383,20.996106
151,5.033333,0,15,15.757246,11.040355,18.462139,7.830872,20.978728
152,5.066667,0,15,15.746179,11.043569,18.454321,7.841306,20.942911
153,5.100000,0,15,16.323666,11.384632,19.190303,8.016497,21.764198
154,5.133333,0,15,16.165595,11.290611,18.980295,7.969377,21.547112
155,5.166667,0,15,16.311398,11.398718,19.162150,8.048683,21.723362
156,5.200000,0,15,15.812956,11.133141,18.516913,7.944449,20.977505
157,5.233333,0,15,16.385043,11.481708,19.258355,8.131936,21.764839
158,5.266667,0,15,16.232280,11.384616,19.062900,8.075075,21.558866
159,5.300000,0,15,16.431811,11.524236,19.316650,8.169593,21.809188
160,5.333333,0,15,15.897502,11.221680,18.627803,8.029452,21.035251
161,5.366667,0,15,15.922559,11.234790,18.660109,8.034347,21.073222
162,5.400000,0,15,15.905250,11.224175,18.637985,8.028498,21.049268
163,5.433333,0,15,15.906991,11.224839,18.640577,8.028379,21.052016
164,5.466667,0,15,15.534110,10.709328,18.382045,7.408710,20.811574
165,5.500000,0,15,16.099336,11.041794,19.143352,7.569131,21.585526
166,5.533333,0,15,15.876091,10.954622,18.851451,7.572500,21.204322
167,5.566667,0,15,15.992305,11.035239,19.001258,7.626017,21.349641
168,5.600000,0,15,15.680160,10.887007,18.575039,7.593700,20.871742
169,5.633333,0,15,16.030012,11.264743,18.981876,7.974475,21.133686
