frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,1,15.161625,7.107730,21.990042,1.145132,22.349702
1,0.033333,0,1,15.161625,7.107730,21.990042,1.145132,22.349702
2,0.066667,0,1,15.108813,6.936402,21.996889,0.894977,22.434571
3,0.100000,0,1,15.171529,6.967040,22.085416,0.902168,22.527004
4,0.133333,0,1,15.083356,6.931885,21.959652,0.904658,22.385757
5,0.166667,0,1,15.811310,7.291120,22.956809,1.000395,23.476725
6,0.200000,0,1,15.660713,7.249501,22.735298,1.034766,23.212074
7,0.233333,0,1,15.890058,7.401329,23.028179,1.129682,23.512313
8,0.266667,0,1,15.284366,7.193349,22.153996,1.201141,22.497961
9,0.300000,0,1,15.713240,7.440480,22.708384,1.319961,23.111375
10,0.333333,0,1,15.637998,7.405630,22.602882,1.314145,22.996968
11,0.366667,0,1,15.747930,7.479714,22.739490,1.362500,23.141800
12,0.400000,0,1,15.372049,7.295646,22.232156,1.313632,22.570359
13,0.433333,0,1,15.374894,7.296423,22.236267,1.312985,22.575430
14,0.466667,0,1,14.899289,6.793512,21.680653,0.812383,22.204832
15,0.500000,0,1,14.909601,6.797847,21.693580,0.812829,22.222396
16,0.533333,0,1,14.897761,6.792949,21.675333,0.813184,22.204767
17,0.566667,0,1,15.497786,7.082794,22.501467,0.881443,23.110449
18,0.600000,0,1,15.395686,7.049216,22.347350,0.897267,22.942440
19,0.633333,0,1,15.569681,7.152592,22.577490,0.949174,23.182377
20,0.666667,0,1,15.050014,6.943342,21.844480,0.958855,22.346707
21,0.700000,0,1,15.615086,7.230835,22.608346,1.048826,23.188086
22,0.733333,0,1,15.511497,7.193517,22.453706,1.059451,23.021335
23,0.766667,0,1,15.674382,7.296108,22.665659,1.117850,23.239638
24,0.800000,0,1,15.178933,7.090461,21.962809,1.118391,22.455599
25,0.833333,0,1,15.191685,7.094487,21.982293,1.116102,22.476660
26,0.866667,0,1,15.062372,6.885474,21.912649,0.849811,22.424655
27,0.900000,0,1,15.165643,6.936546,22.065365,0.861105,22.570461
28,0.933333,0,1,15.028500,6.883700,21.874484,0.866796,22.344220
29,0.966667,0,1,15.468259,7.102510,22.467368,0.929498,23.007912
30,1.000000,0,1,15.388020,7.068580,22.352877,0.928758,22.882425
31,1.033333,0,1,15.485058,7.123317,22.484012,0.952563,23.018600
32,1.066667,0,1,15.040104,6.926337,21.871464,0.929855,22.318993
33,1.100000,0,1,15.523420,7.178369,22.524823,1.016347,23.029090
34,1.133333,0,1,15.435686,7.144307,22.397828,1.020656,22.888573
35,1.166667,0,1,15.559268,7.220172,22.563218,1.060901,23.053686
36,1.200000,0,1,15.121610,7.029991,21.954206,1.045536,22.365088
37,1.233333,0,1,15.121864,7.030067,21.955128,1.045367,22.365098
38,1.266667,0,1,15.043096,6.884784,21.911641,0.855451,22.362197
39,1.300000,0,1,15.053058,6.889816,21.925816,0.856825,22.376534
40,1.333333,0,1,15.037551,6.883362,21.903534,0.856877,22.352243
41,1.366667,0,1,15.586503,7.177531,22.659440,0.964400,23.135669
42,1.400000,0,1,15.187436,7.100326,22.051049,1.111603,22.399656
43,1.433333,0,1,15.187567,7.100370,22.051278,1.111576,22.399847
44,1.466667,0,1,15.187436,7.100326,22.051049,1.111603,22.399656
45,1.500000,0,1,15.592886,7.328592,22.585646,1.213294,22.979717
46,1.533333,0,1,15.524589,7.298161,22.485171,1.210914,22.877681
47,1.566667,0,1,15.627727,7.366059,22.618007,1.252760,23.012413
48,1.600000,0,1,15.248268,7.182783,22.100770,1.208492,22.435540
49,1.633333,0,1,15.250050,7.183395,22.102950,1.208367,22.438834
50,1.666667,0,1,15.249319,7.182873,22.101671,1.208081,22.438206
51,1.700000,0,1,15.010411,6.837094,21.829861,0.810150,22.391222
52,1.733333,0,1,15.008057,6.836320,21.824960,0.810809,22.388402
53,1.766667,0,1,15.549839,7.098510,22.572419,0.872857,23.204243
54,1.800000,0,1,15.459436,7.064236,22.438371,0.879276,23.060662
55,1.833333,0,1,15.600019,7.144838,22.622122,0.917151,23.260785
56,1.866667,0,1,15.106775,6.938243,21.936159,0.911786,22.472380
57,1.900000,0,1,15.652447,7.213743,22.681081,0.993778,23.282482
58,1.933333,0,1,15.554277,7.178347,22.536380,1.003394,23.123057
59,1.966667,0,1,15.700822,7.268994,22.729505,1.052836,23.320126
60,2.000000,0,1,15.221127,7.069091,22.060059,1.049708,22.553613
61,2.033333,0,1,15.230398,7.072250,22.072530,1.048776,22.569887
62,2.066667,0,1,15.226306,7.069595,22.065907,1.047471,22.565539
63,2.100000,0,1,15.227655,7.070118,22.069255,1.047099,22.566611
64,2.133333,0,1,14.774833,6.690428,21.382957,0.758992,22.182551
65,2.166667,0,1,15.300139,6.942428,22.116884,0.813698,22.969834
66,2.200000,0,1,15.180273,6.900466,21.942555,0.826880,22.771383
67,2.233333,0,1,15.307916,6.973418,22.115209,0.859639,22.948899
68,2.266667,0,1,14.852908,6.787400,21.479121,0.862507,22.217097
69,2.300000,0,1,15.414724,7.067913,22.242834,0.942753,23.058586
