frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,5.6,15.218087,9.735362,18.657885,5.940214,21.056162
1,0.033333,0,5.6,15.621000,9.967863,19.172945,6.053612,21.636442
2,0.066667,0,5.6,15.548213,9.970662,19.047351,6.109908,21.487380
3,0.100000,0,5.6,15.856142,10.577619,19.176241,6.921981,21.470203
4,0.133333,0,5.6,15.825465,10.568811,19.128969,6.928940,21.418486
5,0.166667,0,5.6,15.873740,10.600854,19.183443,6.950616,21.487161
6,0.200000,0,5.6,15.833605,10.573855,19.136700,6.932354,21.431761
7,0.233333,0,5.6,23.927760,27.256630,17.720365,30.460245,23.602670
8,0.266667,0,5.6,23.927760,27.256630,17.720365,30.460245,23.602670
9,0.300000,0,5.6,24.489147,27.704774,18.331720,30.834605,24.301118
10,0.333333,0,5.6,25.337657,28.636243,19.040421,31.842662,25.129888
11,0.366667,0,5.6,26.143557,29.458296,19.774709,32.689319,25.966644
12,0.400000,0,5.6,26.064259,29.597544,19.535696,32.984780,25.672303
13,0.433333,0,5.6,26.809344,30.236047,20.328763,33.553631,26.545639
14,0.466667,0,5.6,26.792386,30.232084,20.299861,33.559491,26.517805
15,0.500000,0,5.6,27.131041,30.528742,20.667846,33.826427,26.898850
16,0.533333,0,5.6,26.772302,30.376811,20.167080,33.820331,26.329494
17,0.566667,0,5.6,26.822391,30.420575,20.221659,33.859602,26.385914
18,0.600000,0,5.6,27.223895,31.833618,19.353822,36.111424,26.206439
19,0.633333,0,5.6,27.533547,32.117462,19.671923,36.379094,26.549626
20,0.666667,0,5.6,27.439362,32.074493,19.545000,36.371710,26.401376
21,0.700000,0,5.6,28.113666,32.536150,20.368289,36.682771,27.289938
22,0.733333,0,5.6,28.026897,32.541623,20.223096,36.752216,27.105381
23,0.766667,0,5.6,28.298864,32.755282,20.540445,36.923592,27.432556
24,0.800000,0,5.6,27.856417,32.535943,19.961828,36.857858,26.749564
25,0.833333,0,5.6,28.355175,32.885472,20.562757,37.102224,27.400545
26,0.866667,0,5.6,28.321615,32.868072,20.516263,37.096620,27.351962
27,0.900000,0,5.6,28.545128,33.037552,20.791308,37.224848,27.619227
28,0.933333,0,5.6,28.053747,32.752761,20.170170,37.083091,26.907979
29,0.966667,0,5.6,28.186561,33.157291,19.928203,37.720315,26.911165
30,1.000000,0,5.6,28.217232,33.236770,19.930595,37.833066,26.888034
31,1.033333,0,5.6,28.375121,33.358720,20.099019,37.932763,27.093582
32,1.066667,0,5.6,28.245858,33.264404,19.959092,37.860179,26.918303
33,1.100000,0,5.6,28.763836,33.715290,20.649436,38.236177,27.405896
34,1.133333,0,5.6,28.763878,33.715316,20.649337,38.236226,27.406072
35,1.166667,0,5.6,28.907818,33.834292,20.797440,38.340432,27.585583
36,1.200000,0,5.6,28.759547,33.711903,20.642375,38.233896,27.402370
37,1.233333,0,5.6,28.859793,33.791948,20.749192,38.301291,27.528895
38,1.266667,0,5.6,28.768477,33.718209,20.654745,38.237995,27.412692
39,1.300000,0,5.6,28.771194,33.720387,20.658446,38.239658,27.415476
40,1.333333,0,5.6,28.250804,33.280526,19.984051,37.878136,26.890227
41,1.366667,0,5.6,28.851748,33.646386,20.767657,38.073590,27.713996
42,1.400000,0,5.6,28.688136,33.603727,20.529707,38.114316,27.420384
43,1.433333,0,5.6,28.685491,33.638445,20.512252,38.173013,27.371209
44,1.466667,0,5.6,28.505162,33.547282,20.276825,38.143388,27.095272
45,1.500000,0,5.6,29.038846,33.886376,20.951917,38.343566,27.821055
46,1.533333,0,5.6,28.895482,33.793118,20.770357,38.286467,27.629621
47,1.566667,0,5.6,29.091066,33.929090,21.021551,38.377199,27.874449
48,1.600000,0,5.6,28.601428,33.641476,20.403531,38.229784,27.170968
49,1.633333,0,5.6,29.085824,33.948556,21.018701,38.409861,27.828911
50,1.666667,0,5.6,28.880293,33.824881,20.761847,38.342841,27.536191
51,1.700000,0,5.6,29.049880,33.945248,20.969422,38.427585,27.752635
52,1.733333,0,5.6,28.694632,33.728084,20.528247,38.305849,27.249801
53,1.766667,0,5.6,28.701982,33.730406,20.538432,38.304760,27.262754
54,1.800000,0,5.6,29.297890,34.947044,20.091812,40.093672,27.708185
55,1.833333,0,5.6,29.641798,35.211307,20.484842,40.302988,28.137565
56,1.866667,0,5.6,29.417206,35.150919,20.156309,40.356464,27.738845
57,1.900000,0,5.6,30.003286,35.536512,20.884380,40.599741,28.525738
58,1.933333,0,5.6,29.832999,35.446480,20.654797,40.567215,28.276987
59,1.966667,0,5.6,29.788103,35.449379,20.593665,40.600195,28.170447
60,2.000000,0,5.6,29.537329,35.318782,20.265456,40.553229,27.793301
61,2.033333,0,5.6,30.139894,35.733236,21.007693,40.832745,28.579245
62,2.066667,0,5.6,30.007375,35.653594,20.828977,40.792548,28.400600
63,2.100000,0,5.6,30.222318,35.821172,21.090034,40.923760,28.653160
64,2.133333,0,5.6,29.703215,35.512910,20.426647,40.764063,27.918937
65,2.166667,0,5.6,29.703237,35.512664,20.426874,40.763623,27.919214
66,2.200000,0,5.6,29.776416,35.582369,20.298337,40.875444,28.155468
67,2.233333,0,5.6,29.808534,35.590058,20.354767,40.864262,28.206574
68,2.266667,0,5.6,29.324114,35.376060,19.584625,40.862793,27.524924
69,2.300000,0,5.6,29.729163,35.675467,20.064957,41.087107,28.035425
70,2.333333,0,5.6,29.661658,35.631729,19.976896,41.061055,27.947024
71,2.366667,0,5.6,29.899585,35.833574,20.254510,41.234200,28.210044
72,2.400000,0,5.6,29.512110,35.582026,19.789412,41.075069,27.671850
73,2.433333,0,5.6,29.990347,35.960751,20.357064,41.379020,28.234958
74,2.466667,0,5.6,29.857004,35.853852,20.200782,41.291812,28.078419
75,2.500000,0,5.6,30.013286,35.987026,20.386410,41.405749,28.247701
76,2.533333,0,5.6,29.594283,35.672939,19.896832,41.165322,27.720697
77,2.566667,0,5.6,29.715250,35.757656,20.050129,41.222854,27.872768
78,2.600000,0,5.6,29.606647,35.681733,19.913825,41.171123,27.734995
79,2.633333,0,5.6,29.554639,35.374647,20.207206,40.647000,27.809711
80,2.666667,0,5.6,29.517824,35.366981,20.165216,40.656647,27.731609
81,2.700000,0,5.6,29.846336,35.553420,20.609845,40.738852,28.190310
82,2.733333,0,5.6,29.746424,35.496406,20.474441,40.713404,28.051427
83,2.766667,0,5.6,30.023118,35.673862,20.842559,40.815801,28.410994
84,2.800000,0,5.6,29.530838,35.396456,20.227069,40.684597,27.680847
85,2.833333,0,5.6,30.054420,35.711618,20.916986,40.847722,28.398551
86,2.866667,0,5.6,29.794525,35.551390,20.603972,40.754429,28.025173
87,2.900000,0,5.6,29.748516,35.533262,20.550540,40.753402,27.941605
88,2.933333,0,5.6,29.603647,35.463559,20.355633,40.736357,27.718952
89,2.966667,0,5.6,29.744064,35.551876,20.530255,40.788280,27.913657
90,3.000000,0,5.6,29.618367,35.467933,20.377637,40.733397,27.744068
91,3.033333,0,5.6,28.980669,34.238830,20.292909,39.055199,27.593901
92,3.066667,0,5.6,28.980669,34.238830,20.292909,39.055199,27.593901
93,3.100000,0,5.6,29.332040,34.388297,20.814008,39.055506,28.126607
94,3.133333,0,5.6,28.880201,34.117395,20.276127,38.903849,27.460627
95,3.166667,0,5.6,28.884769,34.120290,20.282118,38.905505,27.466683
96,3.200000,0,5.6,28.872314,34.113669,20.265930,38.902938,27.448073
97,3.233333,0,5.6,29.469005,34.436657,21.080142,39.026467,28.300405
98,3.266667,0,5.6,29.265126,34.300691,20.836199,38.936955,28.022222
99,3.300000,0,5.6,29.437548,34.404447,21.084586,38.986000,28.242057
100,3.333333,0,5.6,28.902405,34.093521,20.415219,38.828869,27.463127
101,3.366667,0,5.6,29.410533,34.328129,21.106502,38.871624,28.253474
102,3.400000,0,5.6,29.229267,34.202154,20.887375,38.784615,28.015812
103,3.433333,0,5.6,29.229462,34.202250,20.888414,38.784472,28.015500
104,3.466667,0,5.6,28.838526,33.894205,20.462336,38.530122,27.523122
105,3.500000,0,5.6,26.390141,29.279391,20.605074,32.146709,26.418641
106,3.533333,0,5.6,25.892460,28.747605,20.163797,31.583672,25.929912
107,3.566667,0,5.6,25.895702,28.638327,20.256235,31.392446,26.038427
108,3.600000,0,5.6,25.331808,28.202607,19.628125,31.041911,25.325387
109,3.633333,0,5.6,25.870230,28.492391,20.354876,31.152526,26.103289
110,3.666667,0,5.6,25.609667,28.286301,20.060738,30.984012,25.784250
111,3.700000,0,5.6,25.735010,28.344378,20.256254,30.989419,25.959355
112,3.733333,0,5.6,25.052152,27.911760,19.433191,30.726351,24.996914
113,3.766667,0,5.6,25.550954,28.232532,20.063904,30.919477,25.669480
114,3.800000,0,5.6,25.353224,28.075532,19.835858,30.791709,25.432106
115,3.833333,0,5.6,25.407126,28.104619,19.921290,30.800133,25.499956
116,3.866667,0,5.6,24.955820,27.795290,19.388534,30.587418,24.891509
117,3.900000,0,5.6,24.955996,27.795445,19.388473,30.587613,24.891901
118,3.933333,0,5.6,25.767519,29.268784,19.127617,32.662553,25.512386
119,3.966667,0,5.6,26.173603,29.593973,19.581833,32.932319,26.006657
120,4.000000,0,5.6,26.001786,29.598369,19.296118,33.059421,25.649820
121,4.033333,0,5.6,26.490041,29.933498,19.880112,33.288627,26.301383
122,4.066667,0,5.6,26.455839,29.915259,19.833784,33.281899,26.251836
123,4.100000,0,5.6,26.380843,29.895736,19.744252,33.296349,26.101927
124,4.133333,0,5.6,26.138015,29.764461,19.431982,33.242172,25.739891
125,4.166667,0,5.6,26.771312,30.180963,20.217793,33.505005,26.591138
126,4.200000,0,5.6,26.648788,30.116763,20.049681,33.483142,26.413539
127,4.233333,0,5.6,26.878398,30.289160,20.340306,33.610450,26.684439
128,4.266667,0,5.6,26.381685,30.012010,19.710873,33.484184,25.949998
129,4.300000,0,5.6,26.631648,30.637250,19.548166,34.407890,25.938888
130,4.333333,0,5.6,26.628005,30.636274,19.542989,34.408728,25.932298
131,4.366667,0,5.6,26.779861,30.735877,19.728944,34.471874,26.138766
132,4.400000,0,5.6,26.670380,30.703390,19.574045,34.492053,25.945041
133,4.433333,0,5.6,27.350378,31.140311,20.433739,34.754778,26.862617
134,4.466667,0,5.6,27.219382,31.082772,20.249512,34.749646,26.658987
135,4.500000,0,5.6,27.475199,31.280221,20.568634,34.900866,26.956097
136,4.533333,0,5.6,26.935232,31.001889,19.857431,34.805187,26.143078
137,4.566667,0,5.6,27.146681,31.108203,20.148261,34.835794,26.455987
138,4.600000,0,5.6,27.086814,31.084201,20.061976,34.837474,26.360993
139,4.633333,0,5.6,27.249978,31.240522,20.279959,34.978025,26.491949
140,4.666667,0,5.6,27.217220,31.228302,20.233662,34.980165,26.437832
141,4.700000,0,5.6,27.218062,31.228822,20.234436,34.980521,26.439230
142,4.733333,0,5.6,27.151619,31.539287,19.646988,35.614012,26.193856
143,4.766667,0,5.6,27.259657,31.608389,19.777913,35.656498,26.344558
144,4.800000,0,5.6,27.226087,31.620947,19.710765,35.701999,26.265496
145,4.833333,0,5.6,27.876706,32.028243,20.540855,35.935011,27.154252
146,4.866667,0,5.6,27.781827,32.002263,20.396213,35.958151,26.991117
147,4.900000,0,5.6,28.031539,32.196914,20.700767,36.110256,27.283593
148,4.933333,0,5.6,27.477791,31.932126,19.961421,36.046427,26.425524
149,4.966667,0,5.6,27.911285,32.231731,20.496184,36.249584,26.988088
150,5.000000,0,5.6,27.615336,32.077829,20.130608,36.189750,26.525650
151,5.033333,0,5.6,27.624335,32.083200,20.142756,36.192420,26.537829
152,5.066667,0,5.6,27.603099,32.074508,20.113607,36.192421,26.503270
153,5.100000,0,5.6,27.725530,32.154804,20.260690,36.243940,26.671960
154,5.133333,0,5.6,27.613313,32.081504,20.126539,36.197036,26.516366
155,5.166667,0,5.6,26.655982,30.440723,19.852439,34.027612,26.087895
156,5.200000,0,5.6,26.586234,30.384154,19.777152,33.979570,26.001979
157,5.233333,0,5.6,27.079909,30.687305,20.412198,34.146071,26.681458
158,5.266667,0,5.6,26.877305,30.530425,20.179712,34.021102,26.431099
159,5.300000,0,5.6,27.016676,30.623254,20.365795,34.077892,26.606340
160,5.333333,0,5.6,26.479698,30.289277,19.715447,33.881377,25.842269
161,5.366667,0,5.6,26.957240,30.571203,20.340755,34.022431,26.508534
162,5.400000,0,5.6,26.697332,30.391392,20.035285,33.897039,26.159671
163,5.433333,0,5.6,26.833625,30.481021,20.216025,33.951054,26.333797
164,5.466667,0,5.6,26.459527,30.255659,19.743830,33.829691,25.805061
165,5.500000,0,5.6,26.879458,30.536070,20.268504,34.009769,26.360101
166,5.533333,0,5.6,26.813584,30.486937,20.189724,33.972748,26.278279
167,5.566667,0,5.6,26.955429,30.593513,20.369316,34.051501,26.445471
168,5.600000,0,5.6,26.487967,30.261295,19.814501,33.813445,25.835955
169,5.633333,0,5.6,25.489285,28.366364,19.753792,31.216100,25.497961
170,5.666667,0,5.6,25.309251,28.183340,19.622824,31.020702,25.284227
171,5.700000,0,5.6,25.430941,28.256777,19.774232,31.060859,25.457733
172,5.733333,0,5.6,25.289424,28.166075,19.603419,31.004768,25.260085
173,5.766667,0,5.6,25.482580,28.262028,19.865736,31.031651,25.550354
174,5.800000,0,5.6,25.430466,28.244287,19.788132,31.038560,25.464707
175,5.833333,0,5.6,25.309436,28.016093,19.870917,30.706365,25.351026
176,5.866667,0,5.6,25.277634,28.005137,19.823056,30.710489,25.299357
177,5.900000,0,5.6,25.759699,28.350686,20.412152,30.956873,25.910073
178,5.933333,0,5.6,25.606221,28.235305,20.230767,30.868737,25.719160
179,5.966667,0,5.6,25.756404,28.349778,20.418750,30.955130,25.895331
180,6.000000,0,5.6,25.332723,28.052269,19.917117,30.744693,25.336359
181,6.033333,0,5.6,25.332723,28.052269,19.917117,30.744693,25.336359
182,6.066667,0,5.6,24.851011,27.538601,19.263285,30.250866,25.038882
183,6.100000,0,5.6,25.106894,27.717230,19.578818,30.373579,25.368285
184,6.133333,0,5.6,24.937516,27.649873,19.351711,30.375469,25.085367
185,6.166667,0,5.6,25.332103,27.902716,19.851929,30.526549,25.617830
186,6.200000,0,5.6,24.988401,27.716915,19.429173,30.445678,25.090353
187,6.233333,0,5.6,24.998458,27.723096,19.441582,30.449195,25.104596
188,6.266667,0,5.6,24.974731,27.713312,19.408311,30.449235,25.066648
189,6.300000,0,5.6,25.560035,28.082600,20.156529,30.663018,25.860558
190,6.333333,0,5.6,25.394421,27.980887,19.946421,30.606497,25.630345
191,6.366667,0,5.6,25.583298,28.114570,20.194809,30.696542,25.858542
192,6.400000,0,5.6,25.081727,27.821239,19.559571,30.548014,25.137594
193,6.433333,0,5.6,24.277743,26.497249,19.327222,28.810495,24.695513
194,6.466667,0,5.6,24.275537,26.496028,19.324587,28.809914,24.692112
195,6.500000,0,5.6,24.301162,26.493096,19.372301,28.786303,24.744883
196,6.533333,0,5.6,24.214963,26.446534,19.262771,28.766844,24.615275
197,6.566667,0,5.6,24.738547,26.758880,19.945839,28.927084,25.342719
198,6.600000,0,5.6,24.521050,26.612015,19.678695,28.830275,25.054182
199,6.633333,0,5.6,24.687636,26.724335,19.899000,28.900737,25.263173
200,6.666667,0,5.6,24.178750,26.417730,19.259612,28.734935,24.541702
201,6.700000,0,5.6,24.634728,26.695088,19.855493,28.882574,25.166119
202,6.733333,0,5.6,24.563814,26.647017,19.766164,28.851206,25.074072
203,6.766667,0,5.6,24.743224,26.772141,20.002624,28.933733,25.293315
204,6.800000,0,5.6,24.186488,26.413922,19.319854,28.713253,24.526356
205,6.833333,0,5.6,24.187947,26.414015,19.322371,28.712356,24.529115
206,6.866667,0,5.6,23.473503,25.129387,19.183469,26.985486,24.251555
207,6.900000,0,5.6,23.553973,25.170989,19.292564,26.999257,24.370099
208,6.933333,0,5.6,23.442761,25.106347,19.153763,26.966495,24.208024
209,6.966667,0,5.6,23.562491,25.158268,19.321973,26.970182,24.395319
210,7.000000,0,5.6,23.125002,24.660389,18.937757,26.427142,24.010107
211,7.033333,0,5.6,23.237580,24.734591,19.079208,26.473734,24.159798
212,7.066667,0,5.6,23.108894,24.666303,18.910196,26.447784,23.968702
213,7.100000,0,5.6,23.487803,24.931461,19.370367,26.632043,24.460998
214,7.133333,0,5.6,23.447006,24.900431,19.319893,26.608548,24.412576
215,7.166667,0,5.6,23.575519,25.004280,19.479263,26.691966,24.555329
216,7.200000,0,5.6,23.126471,24.683304,18.955431,26.458427,23.965556
217,7.233333,0,5.6,23.180842,24.719617,19.024067,26.481598,24.036860
218,7.266667,0,5.6,23.132924,24.688928,18.962308,26.463497,23.972967
219,7.300000,0,5.6,23.153701,25.072392,18.462308,27.162041,23.836755
220,7.333333,0,5.6,23.153701,25.072392,18.462308,27.162041,23.836755
221,7.366667,0,5.6,23.899247,25.587438,19.392717,27.508747,24.796276
222,7.400000,0,5.6,23.741683,25.609230,19.131903,27.652663,24.440483
223,7.433333,0,5.6,23.881178,25.708255,19.307759,27.721279,24.614494
224,7.466667,0,5.6,23.618037,25.588496,18.949814,27.701828,24.202467
225,7.500000,0,5.6,24.197495,25.965223,19.689721,27.930962,24.971802
