frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,13.018894,5.730486,18.699967,0.443419,19.913295
1,0.033333,0,,13.384467,5.888861,19.199933,0.457411,20.496057
2,0.066667,0,,13.318743,5.871218,19.105387,0.472756,20.378087
3,0.100000,0,,13.440524,5.939972,19.260880,0.504707,20.555984
4,0.133333,0,,13.151425,5.847879,18.853127,0.547903,20.053247
5,0.166667,0,,13.348511,5.893425,19.082775,0.502203,20.460554
6,0.200000,0,,13.270141,5.887275,18.954332,0.547082,20.309010
7,0.233333,0,,13.280657,5.892601,18.966349,0.549199,20.326423
8,0.266667,0,,13.265764,5.887002,18.943244,0.550554,20.303492
9,0.300000,0,,13.445735,5.934343,19.244826,0.497704,20.594674
10,0.333333,0,,13.443186,5.933693,19.238486,0.498934,20.592139
11,0.366667,0,,13.637547,6.030213,19.514333,0.523340,20.874969
12,0.400000,0,,13.397050,5.943750,19.173475,0.544313,20.473360
13,0.433333,0,,13.397276,5.943811,19.173735,0.544275,20.473818
14,0.466667,0,,13.165960,5.835676,18.956678,0.501418,20.039784
15,0.500000,0,,13.166542,5.836026,18.957442,0.501599,20.040584
16,0.533333,0,,13.165910,5.835792,18.956663,0.501618,20.039449
17,0.566667,0,,13.361046,5.911205,19.260282,0.486872,20.335985
18,0.600000,0,,13.267594,5.901232,19.105059,0.536736,20.160986
19,0.633333,0,,13.272289,5.903775,19.111088,0.537792,20.167986
20,0.666667,0,,13.265187,5.901082,19.100124,0.538391,20.157045
21,0.700000,0,,13.265187,5.901082,19.100124,0.538391,20.157045
22,0.733333,0,,13.257989,5.878767,19.051459,0.516736,20.205770
23,0.766667,0,,13.462314,5.979272,19.326610,0.544135,20.516196
24,0.800000,0,,13.195971,5.880667,18.931692,0.566734,20.089488
25,0.833333,0,,13.196054,5.880662,18.931862,0.566661,20.089639
26,0.866667,0,,13.454416,6.102841,19.145584,0.778498,20.439167
27,0.900000,0,,13.454573,6.102938,19.145747,0.778560,20.439413
28,0.933333,0,,13.454191,6.102774,19.145169,0.778560,20.438844
29,0.966667,0,,13.454324,6.102858,19.145650,0.778542,20.438781
30,1.000000,0,,12.974126,5.753455,18.541582,0.528804,19.851992
31,1.033333,0,,12.974262,5.753523,18.541783,0.528821,19.852183
32,1.066667,0,,12.974141,5.753471,18.541597,0.528822,19.852004
33,1.100000,0,,13.428558,5.962037,19.182782,0.560107,20.542783
34,1.133333,0,,13.330965,5.931897,19.043598,0.576500,20.372797
35,1.166667,0,,13.492674,6.017705,19.260232,0.608173,20.609618
36,1.200000,0,,13.146146,5.902181,18.770468,0.652181,20.015789
37,1.233333,0,,13.107806,5.814158,18.798932,0.521986,20.002499
38,1.266667,0,,13.095579,5.808399,18.789658,0.519174,19.977905
39,1.300000,0,,12.852318,5.666128,18.527809,0.437032,19.592112
40,1.333333,0,,12.851628,5.665821,18.526491,0.437075,19.591317
41,1.366667,0,,12.853385,5.666547,18.528811,0.437106,19.594238
42,1.400000,0,,12.851824,5.665761,18.526509,0.436912,19.592050
