frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,12.758437,5.677460,18.244660,0.548107,19.482544
1,0.033333,0,,12.970116,5.768475,18.516010,0.559097,19.835242
2,0.066667,0,,12.920622,5.751753,18.452791,0.563568,19.745509
3,0.100000,0,,12.987799,5.789305,18.534402,0.581521,19.847473
4,0.133333,0,,12.780603,5.719994,18.267804,0.601735,19.472269
5,0.166667,0,,13.092129,5.857455,18.683368,0.619837,19.973181
6,0.200000,0,,13.018067,5.834831,18.582619,0.631598,19.839984
7,0.233333,0,,13.125925,5.896201,18.716970,0.661374,19.999431
8,0.266667,0,,12.844588,5.803166,18.329736,0.696008,19.508021
9,0.300000,0,,12.845302,5.803424,18.330763,0.695944,19.509200
10,0.333333,0,,12.845185,5.803325,18.330637,0.695858,19.509059
11,0.366667,0,,12.845185,5.803325,18.330637,0.695858,19.509059
12,0.400000,0,,12.663703,5.615524,18.051464,0.525879,19.413765
13,0.433333,0,,13.066598,5.784679,18.602479,0.532918,20.064398
14,0.466667,0,,12.970286,5.752113,18.467538,0.544179,19.899142
15,0.500000,0,,13.103972,5.822898,18.645470,0.570380,20.096066
16,0.533333,0,,12.725780,5.695047,18.116755,0.614387,19.446198
17,0.566667,0,,13.065713,5.836325,18.581500,0.618117,19.997521
18,0.600000,0,,12.980585,5.807364,18.459925,0.628299,19.853531
19,0.633333,0,,13.096587,5.867262,18.613741,0.648790,20.027229
20,0.666667,0,,12.781569,5.761757,18.177299,0.686122,19.481286
21,0.700000,0,,13.133286,5.919101,18.658009,0.707383,20.034467
22,0.733333,0,,13.054553,5.893932,18.542880,0.719900,19.900879
23,0.766667,0,,13.180388,5.965047,18.705460,0.752611,20.083094
24,0.800000,0,,12.882962,5.862092,18.282388,0.785063,19.581433
25,0.833333,0,,13.124440,5.990597,18.571854,0.840366,19.961099
26,0.866667,0,,13.124440,5.990597,18.571854,0.840366,19.961099
27,0.900000,0,,13.127119,5.991849,18.575651,0.840582,19.965124
28,0.933333,0,,13.124451,5.990629,18.571853,0.840411,19.961089
29,0.966667,0,,13.350636,6.096175,18.876646,0.861813,20.313449
30,1.000000,0,,13.295829,6.070622,18.802896,0.856640,20.227951
31,1.033333,0,,13.368040,6.112815,18.896463,0.877503,20.330155
32,1.066667,0,,13.144458,6.022963,18.591182,0.879738,19.962453
33,1.100000,0,,13.307653,6.096306,18.806323,0.891852,20.224784
34,1.133333,0,,13.264273,6.078777,18.748076,0.891922,20.152822
35,1.166667,0,,13.320334,6.108698,18.819658,0.903940,20.237403
36,1.200000,0,,13.164109,6.049032,18.606118,0.910399,19.975811
37,1.233333,0,,12.861719,5.726362,18.395211,0.556494,19.633454
38,1.266667,0,,12.861439,5.726278,18.394623,0.556586,19.633108
39,1.300000,0,,12.877898,5.733779,18.418050,0.557592,19.658052
40,1.333333,0,,12.859737,5.726667,18.392663,0.558193,19.628356
41,1.366667,0,,13.316773,5.921106,19.029912,0.567486,20.352922
42,1.400000,0,,13.207565,5.887611,18.876757,0.585623,20.160315
43,1.433333,0,,13.368471,5.975147,19.091912,0.620578,20.392924
44,1.466667,0,,12.966877,5.841021,18.522083,0.671687,19.706861
45,1.500000,0,,13.273309,5.969118,18.948895,0.674486,20.196547
46,1.533333,0,,13.193578,5.940998,18.836288,0.682199,20.062246
47,1.566667,0,,13.299382,5.995218,18.977888,0.699963,20.220293
48,1.600000,0,,13.013113,5.897377,18.577017,0.731763,19.730559
49,1.633333,0,,13.015554,5.898322,18.580335,0.731686,19.734642
50,1.666667,0,,13.013886,5.897465,18.578028,0.731418,19.732210
51,1.700000,0,,12.542440,5.610128,17.813903,0.610207,19.203209
52,1.733333,0,,12.542393,5.610088,17.813836,0.610176,19.203168
53,1.766667,0,,12.891401,5.760712,18.298176,0.621106,19.754921
54,1.800000,0,,12.806922,5.730105,18.177602,0.628290,19.614875
55,1.833333,0,,12.918635,5.791534,18.324872,0.654038,19.776994
56,1.866667,0,,12.582921,5.674956,17.846916,0.690184,19.211663
57,1.900000,0,,12.883971,5.803391,18.251137,0.700254,19.700521
58,1.933333,0,,12.809546,5.778096,18.148765,0.708339,19.571534
59,1.966667,0,,12.911632,5.833374,18.281596,0.730915,19.722386
60,2.000000,0,,12.629983,5.736714,17.889070,0.761173,19.239707
61,2.033333,0,,13.202724,5.983626,18.680627,0.779403,20.148142
62,2.066667,0,,13.051923,5.934942,18.470559,0.800356,19.884854
63,2.100000,0,,13.245448,6.039829,18.722704,0.843230,20.170409
64,2.133333,0,,12.752947,5.882505,18.019403,0.918028,19.321410
65,2.166667,0,,12.753605,5.882735,18.020243,0.917981,19.322592
66,2.200000,0,,12.753341,5.882570,18.019893,0.917890,19.322242
67,2.233333,0,,12.753328,5.882551,18.019889,0.917866,19.322230
68,2.266667,0,,11.991964,5.368678,16.946389,0.609558,18.419944
69,2.300000,0,,12.467522,5.574896,17.612795,0.624564,19.165208
70,2.333333,0,,12.370335,5.545567,17.473625,0.642077,18.995302
71,2.366667,0,,12.532338,5.636894,17.687836,0.682764,19.226414
72,2.400000,0,,12.132773,5.506732,17.119004,0.739137,18.540177
73,2.433333,0,,12.567411,5.693327,17.730092,0.749488,19.222653
74,2.466667,0,,12.467559,5.663179,17.583811,0.768178,19.050687
75,2.500000,0,,12.624937,5.750069,17.794066,0.804387,19.276360
76,2.533333,0,,12.243384,5.623812,17.245379,0.856367,18.628406
77,2.566667,0,,12.253323,5.627675,17.260889,0.855640,18.643440
78,2.600000,0,,12.248762,5.625259,17.256407,0.854397,18.635483
79,2.633333,0,,11.605734,5.241703,16.177783,0.710015,17.929404
80,2.666667,0,,11.605760,5.241736,16.177799,0.710055,17.929424
81,2.700000,0,,12.088898,5.453328,16.851506,0.729271,18.685918
82,2.733333,0,,11.990261,5.423780,16.703510,0.748860,18.518413
83,2.766667,0,,12.163720,5.525745,16.928273,0.799928,18.762958
84,2.800000,0,,11.756099,5.393436,16.331479,0.861782,18.075037
85,2.833333,0,,12.227118,5.602682,16.979679,0.887001,18.814676
86,2.866667,0,,12.122769,5.574562,16.822514,0.912735,18.633057
87,2.900000,0,,12.300174,5.677775,17.052612,0.963251,18.884659
88,2.933333,0,,11.913291,5.551597,16.494406,1.019229,18.226238
89,2.966667,0,,12.322214,5.737260,17.052911,1.048274,18.865458
90,3.000000,0,,12.231173,5.708606,16.921582,1.063054,18.708882
91,3.033333,0,,12.383571,5.798721,17.120111,1.108516,18.922087
92,3.066667,0,,12.027729,5.674995,16.615076,1.146239,18.321873
93,3.100000,0,,12.028481,5.674896,16.615621,1.145714,18.324109
94,3.133333,0,,11.594160,5.463333,15.889664,1.121507,17.771309
95,3.166667,0,,11.606660,5.469880,15.904007,1.124347,17.791625
96,3.200000,0,,11.586552,5.462295,15.873227,1.126044,17.760386
97,3.233333,0,,11.999043,5.658021,16.436162,1.168571,18.392397
98,3.266667,0,,11.871642,5.618941,16.254838,1.190302,18.169787
99,3.300000,0,,12.017678,5.708512,16.444546,1.238987,18.369501
100,3.333333,0,,11.673997,5.587510,15.959974,1.272383,17.789635
101,3.366667,0,,12.260666,5.935710,16.713062,1.451845,18.617090
102,3.400000,0,,12.029967,6.002343,16.283602,1.726959,18.079340
103,3.433333,0,,12.035556,6.005773,16.290845,1.728829,18.086994
104,3.466667,0,,12.025989,6.002975,16.277326,1.730652,18.069989
105,3.500000,0,,12.027009,6.003321,16.278785,1.730527,18.071715
106,3.533333,0,,12.026435,6.002946,16.277967,1.730317,18.071022
107,3.566667,0,,12.026435,6.002946,16.277967,1.730317,18.071022
108,3.600000,0,,11.447501,5.390660,15.616531,1.117528,17.608445
109,3.633333,0,,11.925420,5.606838,16.283322,1.147144,18.345793
110,3.666667,0,,11.828110,5.574171,16.147798,1.158711,18.177821
111,3.700000,0,,12.006484,5.680402,16.381259,1.212860,18.425334
112,3.733333,0,,11.606177,5.546052,15.819086,1.261516,17.737928
113,3.766667,0,,11.996832,5.721297,16.364078,1.283464,18.342955
114,3.800000,0,,11.909306,5.687302,16.241135,1.286923,18.199860
115,3.833333,0,,12.050796,5.769886,16.428070,1.326878,18.397441
116,3.866667,0,,11.712791,5.648815,15.943911,1.358164,17.836298
117,3.900000,0,,12.057643,5.807524,16.411629,1.386696,18.374603
118,3.933333,0,,11.961715,5.769215,16.277916,1.388628,18.218600
119,3.966667,0,,12.089210,5.845294,16.446143,1.427267,18.394222
120,4.000000,0,,11.793032,5.734676,16.033622,1.445078,17.900396
121,4.033333,0,,11.657633,5.426674,16.090822,0.999191,17.882886
122,4.066667,0,,11.655915,5.425567,16.088526,0.998548,17.880669
123,4.100000,0,,11.757586,5.475262,16.235845,1.009418,18.027496
124,4.133333,0,,11.624759,5.424354,16.051340,1.015277,17.807661
125,4.166667,0,,12.070005,5.627193,16.660528,1.047732,18.501755
126,4.200000,0,,11.960883,5.588407,16.505642,1.057990,18.319016
127,4.233333,0,,12.120020,5.683094,16.711679,1.106654,18.541729
128,4.266667,0,,11.734048,5.547534,16.168107,1.144537,17.889501
129,4.300000,0,,12.124696,5.729116,16.700154,1.179168,18.494767
130,4.333333,0,,12.035810,5.697689,16.568764,1.188924,18.349743
131,4.366667,0,,12.181709,5.785727,16.756188,1.235769,18.553171
132,4.400000,0,,11.831852,5.659609,16.255375,1.266835,17.973346
133,4.433333,0,,11.831852,5.659609,16.255375,1.266835,17.973346
134,4.466667,0,,11.831852,5.659609,16.255375,1.266835,17.973346
135,4.500000,0,,11.472505,5.672886,15.365920,1.602747,17.448849
136,4.533333,0,,11.471045,5.672889,15.362387,1.604015,17.446732
137,4.566667,0,,11.655829,5.981863,15.472153,1.998321,17.497012
138,4.600000,0,,11.653944,5.981254,15.469230,1.998647,17.493954
139,4.633333,0,,11.665129,5.988276,15.484333,2.002502,17.508553
140,4.666667,0,,11.640598,5.980296,15.450265,2.005793,17.465735
141,4.700000,0,,12.016792,6.196666,15.931637,2.110462,18.008277
