frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,12.722390,5.697086,18.183414,0.604145,19.379612
1,0.033333,0,,13.017505,5.824893,18.564084,0.620380,19.868052
2,0.066667,0,,12.948997,5.803256,18.474479,0.629372,19.743139
3,0.100000,0,,13.046577,5.859387,18.595342,0.657407,19.886984
4,0.133333,0,,12.769401,5.767967,18.230689,0.688220,19.389293
5,0.166667,0,,12.769618,5.767994,18.230947,0.688133,19.389774
6,0.200000,0,,12.731437,5.637000,18.222579,0.499099,19.472633
7,0.233333,0,,12.750782,5.646075,18.249248,0.500873,19.502224
8,0.266667,0,,12.721302,5.634778,18.207424,0.502367,19.454115
9,0.300000,0,,13.153531,5.817881,18.807632,0.510474,20.142486
10,0.333333,0,,13.050348,5.784547,18.656316,0.526431,19.968296
11,0.366667,0,,13.198655,5.864714,18.854672,0.557837,20.183455
12,0.400000,0,,12.789599,5.728773,18.281268,0.609417,19.478111
13,0.433333,0,,13.184822,5.897254,18.830777,0.618321,20.105367
14,0.466667,0,,13.089246,5.866433,18.692325,0.632815,19.942598
15,0.500000,0,,13.226047,5.940415,18.877384,0.661382,20.139376
16,0.533333,0,,12.875790,5.822927,18.382070,0.704803,19.540498
17,0.566667,0,,12.875790,5.822927,18.382070,0.704803,19.540498
18,0.600000,0,,12.478242,5.448170,18.046285,0.329213,19.059227
19,0.633333,0,,12.521007,5.443638,18.141899,0.286882,19.134242
20,0.666667,0,,12.237758,5.321239,17.754466,0.276538,18.682269
21,0.700000,0,,12.584371,5.480882,18.253216,0.299154,19.200742
22,0.733333,0,,12.528577,5.466596,18.161066,0.315852,19.108815
23,0.766667,0,,12.638448,5.532082,18.307611,0.348687,19.259047
24,0.800000,0,,12.367001,5.442579,17.897367,0.390508,18.813128
25,0.833333,0,,12.663783,5.576469,18.318209,0.406870,19.266271
26,0.866667,0,,12.607865,5.560985,18.230581,0.420760,19.172255
27,0.900000,0,,12.704027,5.616612,18.361412,0.446311,19.304360
28,0.933333,0,,12.462146,5.535780,18.004809,0.479944,18.901684
29,0.966667,0,,12.463503,5.536422,18.007046,0.479997,18.903465
30,1.000000,0,,12.463074,5.536261,18.006739,0.479959,18.902523
31,1.033333,0,,12.477982,5.502520,17.923532,0.440629,19.069786
32,1.066667,0,,12.466987,5.499204,17.897811,0.444793,19.058357
33,1.100000,0,,12.891518,5.675955,18.479141,0.449737,19.745677
34,1.133333,0,,12.793553,5.644572,18.339341,0.464456,19.576860
35,1.166667,0,,12.934809,5.718545,18.527908,0.490742,19.785777
36,1.200000,0,,12.547768,5.590976,17.987657,0.540688,19.114958
37,1.233333,0,,12.892080,5.735765,18.464660,0.545727,19.665854
38,1.266667,0,,12.803664,5.707589,18.339787,0.558956,19.512249
39,1.300000,0,,12.920303,5.768520,18.494245,0.580700,19.685965
40,1.333333,0,,12.614215,5.668179,18.065313,0.621415,19.155919
41,1.366667,0,,12.616714,5.669173,18.068734,0.621373,19.160037
42,1.400000,0,,12.615318,5.668468,18.066508,0.621233,19.158213
43,1.433333,0,,12.615318,5.668468,18.066508,0.621233,19.158213
44,1.466667,0,,12.412826,5.495581,17.821478,0.474070,18.942929
45,1.500000,0,,12.878831,5.688445,18.479113,0.473441,19.683940
46,1.533333,0,,12.780099,5.656280,18.342056,0.486604,19.511637
47,1.566667,0,,12.941233,5.739708,18.561587,0.514137,19.747974
48,1.600000,0,,12.546165,5.610870,18.009410,0.567418,19.061668
49,1.633333,0,,12.991595,5.795041,18.635884,0.567004,19.771896
50,1.666667,0,,12.886411,5.764939,18.483238,0.588951,19.587045
51,1.700000,0,,13.047063,5.850027,18.699255,0.619997,19.821939
52,1.733333,0,,12.642965,5.719177,18.124528,0.678113,19.126255
53,1.766667,0,,12.651550,5.722327,18.137422,0.677305,19.139924
54,1.800000,0,,12.647552,5.720027,18.132823,0.676080,19.133754
55,1.833333,0,,12.647071,5.719814,18.131959,0.676099,19.133155
56,1.866667,0,,12.225832,5.357901,17.433065,0.407751,18.836681
57,1.900000,0,,12.693700,5.551516,18.096577,0.406378,19.578145
58,1.933333,0,,12.596492,5.519693,17.959735,0.419512,19.410228
59,1.966667,0,,12.759555,5.603316,18.179651,0.446615,19.652400
60,2.000000,0,,12.367360,5.473551,17.613129,0.500617,18.988333
61,2.033333,0,,12.741118,5.625126,18.133434,0.496837,19.593082
62,2.066667,0,,12.651946,5.595774,18.004293,0.509424,19.442121
63,2.100000,0,,12.774778,5.657924,18.172473,0.527981,19.623881
64,2.133333,0,,12.455638,5.553619,17.720105,0.572045,19.074763
65,2.166667,0,,12.894847,5.736356,18.329137,0.575305,19.780100
66,2.200000,0,,12.798240,5.707549,18.187193,0.594041,19.613487
67,2.233333,0,,12.952850,5.789438,18.392467,0.624492,19.841591
68,2.266667,0,,12.576165,5.667170,17.854431,0.678710,19.195353
69,2.300000,0,,12.739526,5.659150,18.261516,0.522321,19.434741
70,2.333333,0,,12.738896,5.658846,18.261667,0.522026,19.432996
71,2.366667,0,,12.891125,5.730799,18.480173,0.534938,19.658264
72,2.400000,0,,12.697336,5.658234,18.205923,0.547246,19.338839
73,2.433333,0,,12.960968,5.770586,18.570464,0.553572,19.758868
74,2.466667,0,,12.896614,5.745270,18.481676,0.555266,19.652899
75,2.500000,0,,12.975422,5.786407,18.584231,0.570303,19.771733
76,2.533333,0,,12.710590,5.691051,18.215049,0.591826,19.324895
77,2.566667,0,,13.052434,5.834728,18.683090,0.597923,19.876288
78,2.600000,0,,12.964504,5.806899,18.564495,0.610158,19.718857
79,2.633333,0,,13.082207,5.868064,18.718089,0.632097,19.896436
80,2.666667,0,,12.761522,5.761634,18.269614,0.672526,19.342426
81,2.700000,0,,12.762160,5.761923,18.270578,0.672550,19.343353
82,2.733333,0,,12.761755,5.761712,18.269991,0.672487,19.342785
83,2.766667,0,,12.464083,5.505349,17.824238,0.471392,19.096620
84,2.800000,0,,12.464083,5.505349,17.824238,0.471392,19.096620
85,2.833333,0,,12.929951,5.702361,18.481605,0.477319,19.830929
86,2.866667,0,,12.821606,5.669334,18.332909,0.494921,19.636989
87,2.900000,0,,12.984039,5.755394,18.552582,0.526079,19.873456
88,2.933333,0,,12.580620,5.621818,17.982626,0.578686,19.180548
89,2.966667,0,,13.196216,5.888508,18.839686,0.598936,20.150025
90,3.000000,0,,13.063647,5.853333,18.649588,0.630396,19.910957
91,3.033333,0,,13.301487,5.986108,18.964878,0.687928,20.251655
92,3.066667,0,,12.788961,5.825463,18.224270,0.772452,19.370161
93,3.100000,0,,12.788961,5.825463,18.224270,0.772452,19.370161
94,3.133333,0,,12.788961,5.825463,18.224270,0.772452,19.370161
95,3.166667,0,,12.553426,5.535772,17.958405,0.459315,19.242558
96,3.200000,0,,12.553426,5.535772,17.958405,0.459315,19.242558
97,3.233333,0,,13.013804,5.724474,18.611020,0.455205,19.975187
98,3.266667,0,,12.892384,5.684527,18.441705,0.470951,19.764498
99,3.300000,0,,13.046997,5.761972,18.651590,0.493482,19.995920
100,3.333333,0,,12.660844,5.632378,18.105947,0.541157,19.335428
101,3.366667,0,,13.141738,5.834907,18.780110,0.546935,20.098171
102,3.400000,0,,13.046644,5.810581,18.640984,0.571515,19.927432
103,3.433333,0,,13.225411,5.906323,18.881203,0.607742,20.187287
104,3.466667,0,,12.823146,5.777871,18.302321,0.669878,19.497238
105,3.500000,0,,13.154782,5.912694,18.767691,0.666228,20.030426
106,3.533333,0,,13.068833,5.882421,18.645348,0.674813,19.886337
107,3.566667,0,,13.182297,5.938828,18.799135,0.690737,20.057020
108,3.600000,0,,12.879204,5.835542,18.370510,0.725795,19.541308
109,3.633333,0,,11.239160,6.303826,13.919877,2.978341,16.819261
