frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,13.213443,6.087472,18.724651,0.927682,19.987995
1,0.033333,0,,13.213443,6.087472,18.724651,0.927682,19.987995
2,0.066667,0,,12.582181,5.575201,17.908863,0.521766,19.315914
3,0.100000,0,,12.592689,5.579458,17.922548,0.521860,19.333659
4,0.133333,0,,12.577542,5.572945,17.899640,0.521836,19.311149
5,0.166667,0,,13.067899,5.779243,18.584972,0.527848,20.090878
6,0.200000,0,,12.961576,5.746075,18.439268,0.543895,19.901566
7,0.233333,0,,13.133402,5.837813,18.670674,0.578158,20.151376
8,0.266667,0,,12.701722,5.696464,18.069868,0.634933,19.400365
9,0.300000,0,,13.092240,5.858284,18.611072,0.636875,20.028774
10,0.333333,0,,12.995858,5.826819,18.474215,0.650290,19.863067
11,0.366667,0,,13.131804,5.897705,18.657670,0.674681,20.063060
12,0.400000,0,,12.782219,5.781383,18.157882,0.720665,19.468110
13,0.433333,0,,12.785038,5.782123,18.162321,0.719897,19.472896
14,0.466667,0,,12.717334,5.633553,18.210911,0.501037,19.440052
15,0.500000,0,,12.734686,5.641608,18.235263,0.502401,19.466395
16,0.533333,0,,12.717264,5.634915,18.210360,0.503299,19.438134
17,0.566667,0,,13.193381,5.839226,18.875503,0.515426,20.189212
18,0.600000,0,,13.083607,5.805141,18.717866,0.533815,19.999141
19,0.633333,0,,13.251556,5.897156,18.943192,0.571143,20.240334
20,0.666667,0,,12.826377,5.756838,18.339538,0.627952,19.511642
21,0.700000,0,,13.144107,5.886821,18.780043,0.626888,20.025390
22,0.733333,0,,13.062357,5.858440,18.662664,0.635918,19.888490
23,0.766667,0,,13.172485,5.913218,18.812035,0.651396,20.054023
24,0.800000,0,,12.873541,5.811592,18.391152,0.685949,19.543522
25,0.833333,0,,12.874323,5.811848,18.392024,0.685894,19.545050
26,0.866667,0,,12.874073,5.811662,18.391577,0.685787,19.544856
27,0.900000,0,,12.876280,5.812333,18.395543,0.685220,19.548076
28,0.933333,0,,12.701021,5.634377,18.147484,0.521662,19.433918
29,0.966667,0,,13.201087,5.828775,18.853451,0.501392,20.248417
30,1.000000,0,,13.045566,5.766136,18.641323,0.502682,19.992694
31,1.033333,0,,13.216164,5.846662,18.873672,0.519716,20.255103
32,1.066667,0,,12.716438,5.672516,18.172894,0.570235,19.406186
33,1.100000,0,,13.025059,5.811056,18.607176,0.586906,19.881094
34,1.133333,0,,12.958542,5.790418,18.505596,0.599397,19.770634
35,1.166667,0,,13.063686,5.851003,18.644315,0.627911,19.918830
36,1.200000,0,,12.792157,5.757267,18.247143,0.660322,19.469005
37,1.233333,0,,12.792893,5.757585,18.248584,0.660254,19.469842
38,1.266667,0,,12.792522,5.757405,18.248328,0.660154,19.469084
39,1.300000,0,,12.792522,5.757405,18.248328,0.660154,19.469084
40,1.333333,0,,12.522328,5.494707,17.819402,0.436278,19.311303
41,1.366667,0,,13.016942,5.700101,18.509548,0.438400,20.102880
42,1.400000,0,,12.910641,5.666577,18.357667,0.455234,19.919020
43,1.433333,0,,13.084204,5.755157,18.587038,0.484446,20.181128
44,1.466667,0,,12.676786,5.621130,18.006196,0.540075,19.484089
45,1.500000,0,,13.120890,5.804745,18.630766,0.539658,20.192245
46,1.533333,0,,13.023605,5.775716,18.488509,0.558346,20.023958
47,1.566667,0,,13.177755,5.856858,18.694629,0.587605,20.251030
48,1.600000,0,,12.792442,5.730877,18.137756,0.643069,19.596503
49,1.633333,0,,13.147792,5.878691,18.626468,0.646536,20.170372
50,1.666667,0,,13.062953,5.850638,18.503637,0.658307,20.026915
51,1.700000,0,,13.185033,5.914764,18.666109,0.681438,20.207553
52,1.733333,0,,12.863592,5.806725,18.212081,0.720831,19.657863
53,1.766667,0,,12.865706,5.807288,18.215946,0.720152,19.661020
