frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,13.246942,5.869120,19.185654,0.476153,20.079018
1,0.033333,0,,13.247089,5.869117,19.185671,0.476095,20.079503
2,0.066667,0,,13.332678,5.893720,19.336041,0.452693,20.209300
3,0.100000,0,,13.387589,5.921172,19.417680,0.459064,20.286023
4,0.133333,0,,13.315668,5.894636,19.317552,0.463885,20.165566
5,0.166667,0,,13.321024,5.896515,19.326662,0.463014,20.173394
6,0.200000,0,,13.074953,5.756395,18.934025,0.413722,19.877112
7,0.233333,0,,13.075216,5.756473,18.934036,0.413752,19.877858
8,0.266667,0,,13.074172,5.755997,18.932172,0.413771,19.876573
9,0.300000,0,,13.136224,5.785741,19.021909,0.419532,19.967232
10,0.333333,0,,13.119683,5.781081,19.000036,0.422632,19.936381
11,0.366667,0,,13.120005,5.781153,19.000698,0.422491,19.936827
12,0.400000,0,,13.312756,5.889408,19.258967,0.469527,20.209775
13,0.433333,0,,13.321659,5.893178,19.270519,0.469869,20.224590
14,0.466667,0,,13.316711,5.890840,19.262791,0.469587,20.217756
15,0.500000,0,,13.085790,5.758082,18.901192,0.419864,19.936314
16,0.533333,0,,13.085790,5.758082,18.901192,0.419864,19.936314
17,0.566667,0,,13.143940,5.785000,18.981240,0.424659,20.025921
18,0.600000,0,,13.123613,5.777205,18.951571,0.425864,19.993403
19,0.633333,0,,13.222342,5.827719,19.027227,0.454645,20.185155
20,0.666667,0,,13.187857,5.823638,18.973895,0.471560,20.118115
21,0.700000,0,,13.192475,5.825954,18.980503,0.472164,20.124757
22,0.733333,0,,13.190066,5.824910,18.977407,0.472028,20.120764
23,0.766667,0,,13.124331,5.809201,19.058775,0.451973,19.862246
24,0.800000,0,,13.111038,5.806199,19.039079,0.456083,19.837952
25,0.833333,0,,13.317352,5.891670,19.344511,0.452818,20.154729
26,0.866667,0,,13.219933,5.850392,19.218108,0.449040,19.992653
27,0.900000,0,,13.273337,5.866501,19.186673,0.462967,20.170371
28,0.933333,0,,13.201201,5.843413,19.068153,0.477238,20.058211
29,0.966667,0,,13.210553,5.847363,19.080857,0.477458,20.073343
30,1.000000,0,,13.207042,5.845643,19.076363,0.476946,20.067817
31,1.033333,0,,13.133998,5.801174,18.964373,0.456846,19.980776
32,1.066667,0,,13.095254,5.790375,18.895678,0.468102,19.921980
33,1.100000,0,,13.426748,5.930793,19.361057,0.473199,20.445988
34,1.133333,0,,13.354198,5.904496,19.253123,0.480308,20.329162
35,1.166667,0,,13.457044,5.958578,19.393869,0.499041,20.478222
36,1.200000,0,,13.156854,5.853691,18.960046,0.531766,19.978751
37,1.233333,0,,12.579303,5.753840,17.375545,0.917008,19.445355
38,1.266667,0,,12.292963,5.832034,16.778689,1.265397,18.834801
39,1.300000,0,,12.293183,5.832169,16.778946,1.265476,18.835127
40,1.333333,0,,12.293002,5.832084,16.778704,1.265458,18.834844
41,1.366667,0,,12.293782,5.832336,16.780043,1.265295,18.836007
42,1.400000,0,,11.709856,6.365448,14.803289,2.722724,17.603555
43,1.433333,0,,11.893055,6.620223,14.964358,3.022071,17.692737
44,1.466667,0,,11.759202,6.587984,14.765763,3.060385,17.451458
45,1.500000,0,,11.838364,6.647096,14.835627,3.110395,17.569070
46,1.533333,0,,12.469014,8.356510,14.279588,5.677866,17.449590
47,1.566667,0,,12.728488,8.577065,14.557206,5.872850,17.755409
48,1.600000,0,,12.614282,8.635541,14.325075,6.052950,17.464821
49,1.633333,0,,12.713394,8.703014,14.438951,6.099633,17.601597
50,1.666667,0,,12.675606,8.695363,14.378349,6.113696,17.534774
51,1.700000,0,,13.252321,9.665492,14.514201,7.398516,17.844246
52,1.733333,0,,13.274183,9.812335,14.456554,7.632110,17.733883
53,1.766667,0,,13.331140,9.849562,14.524842,7.655908,17.812671
54,1.800000,0,,13.293491,9.830081,14.476853,7.648773,17.754848
55,1.833333,0,,12.272424,6.548080,16.041721,2.546836,18.228714
56,1.866667,0,,12.258756,6.541054,16.018913,2.545493,18.211862
57,1.900000,0,,12.319360,6.564539,16.106865,2.542397,18.308818
58,1.933333,0,,12.275393,6.535809,16.054625,2.523933,18.247620
59,1.966667,0,,12.285215,6.537491,16.071047,2.519655,18.264942
60,2.000000,0,,11.852177,6.019464,15.662544,1.949084,17.944901
61,2.033333,0,,12.291986,6.259208,16.257630,2.043845,18.574482
62,2.066667,0,,12.007171,6.218658,15.829094,2.170295,18.022125
63,2.100000,0,,12.007171,6.218658,15.829094,2.170295,18.022125
64,2.133333,0,,12.007171,6.218658,15.829094,2.170295,18.022125
65,2.166667,0,,12.576599,6.999803,16.102505,3.133623,18.493669
66,2.200000,0,,12.576611,6.999818,16.102518,3.133640,18.493675
67,2.233333,0,,12.576683,6.999853,16.102593,3.133653,18.493802
68,2.266667,0,,12.576624,6.999837,16.102526,3.133664,18.493681
69,2.300000,0,,12.185723,6.890529,15.371433,3.254980,17.930754
70,2.333333,0,,12.175632,6.887726,15.358549,3.256834,17.911514
71,2.366667,0,,12.281911,6.960800,15.489265,3.306135,18.050332
72,2.400000,0,,12.172020,6.940314,15.318967,3.348478,17.848615
73,2.433333,0,,12.183688,6.943168,15.341252,3.344121,17.865690
74,2.466667,0,,12.182181,6.404336,15.979998,2.367160,18.199386
75,2.500000,0,,12.182181,6.404336,15.979998,2.367160,18.199386
76,2.533333,0,,12.182181,6.404336,15.979998,2.367160,18.199386
77,2.566667,0,,12.185418,6.405958,15.984603,2.367586,18.204067
78,2.600000,0,,11.768974,6.966260,14.317715,3.743224,17.245983
79,2.633333,0,,11.768974,6.966260,14.317715,3.743224,17.245983
80,2.666667,0,,11.768974,6.966260,14.317715,3.743224,17.245983
81,2.700000,0,,12.282478,7.327684,14.906914,4.003684,17.936836
82,2.733333,0,,12.205023,7.372353,14.738561,4.136005,17.740502
83,2.766667,0,,12.568140,7.755736,15.094164,4.532280,18.077976
84,2.800000,0,,12.424340,7.802233,14.819276,4.713056,17.740688
85,2.833333,0,,12.426774,7.803278,14.822467,4.713164,17.744690
86,2.866667,0,,12.425761,7.802817,14.821042,4.713100,17.743142
87,2.900000,0,,12.512269,7.993142,14.877541,4.967617,17.691648
88,2.933333,0,,12.512288,7.993217,14.878146,4.967595,17.691122
89,2.966667,0,,12.787528,8.127173,15.248988,5.002234,18.111363
90,3.000000,0,,12.739702,8.102956,15.182568,4.995186,18.041352
91,3.033333,0,,12.744087,8.105094,15.184803,4.996545,18.050914
92,3.066667,0,,12.428177,7.552203,15.065944,4.269053,17.949533
93,3.100000,0,,12.543252,7.607962,15.217568,4.283899,18.128290
94,3.133333,0,,12.473767,7.570490,15.125738,4.269080,18.026484
95,3.166667,0,,12.347924,7.707511,14.786022,4.598746,17.659005
96,3.200000,0,,12.347924,7.707511,14.786022,4.598746,17.659005
97,3.233333,0,,12.621759,7.868866,15.135685,4.681094,18.048499
98,3.266667,0,,12.540715,7.875883,14.991126,4.750871,17.880148
99,3.300000,0,,12.585912,8.284748,14.646790,5.446704,17.664243
100,3.333333,0,,12.585528,8.284559,14.645814,5.446751,17.664018
