frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,11.952482,7.518995,14.324537,4.539538,16.993372
1,0.033333,0,,11.953549,7.519603,14.326035,4.539796,16.994814
2,0.066667,0,,11.953173,7.519425,14.325434,4.539778,16.994308
3,0.100000,0,,11.953550,7.519593,14.326055,4.539775,16.994821
4,0.133333,0,,11.952424,7.518925,14.324490,4.539459,16.993325
5,0.166667,0,,11.952496,7.518971,14.324599,4.539481,16.993408
6,0.200000,0,,11.952482,7.518960,14.324574,4.539475,16.993396
7,0.233333,0,,11.952497,7.518972,14.324597,4.539484,16.993410
8,0.266667,0,,11.952419,7.518925,14.324477,4.539462,16.993319
9,0.300000,0,,11.952419,7.518925,14.324477,4.539462,16.993319
10,0.333333,0,,11.952419,7.518925,14.324477,4.539462,16.993319
11,0.366667,0,,11.952419,7.518925,14.324477,4.539462,16.993319
12,0.400000,0,,11.952419,7.518925,14.324477,4.539462,16.993319
13,0.433333,0,,11.952419,7.518925,14.324477,4.539462,16.993319
14,0.466667,0,,11.952419,7.518925,14.324477,4.539462,16.993319
15,0.500000,0,,11.952419,7.518925,14.324477,4.539462,16.993319
16,0.533333,0,,11.952419,7.518925,14.324477,4.539462,16.993319
17,0.566667,0,,11.882294,7.582673,13.962729,4.741215,16.942937
18,0.600000,0,,11.771905,7.745883,13.665509,5.097125,16.553081
19,0.633333,0,,11.780770,7.751261,13.676376,5.100129,16.565805
20,0.666667,0,,11.772700,7.747289,13.666006,5.098934,16.553160
21,0.700000,0,,12.274087,8.046295,14.294102,5.257910,17.270250
22,0.733333,0,,12.178100,7.994719,14.167442,5.237689,17.129170
23,0.766667,0,,12.366908,8.131610,14.398134,5.336609,17.365980
24,0.800000,0,,11.857059,7.872497,13.737842,5.249557,16.583778
25,0.833333,0,,11.872306,7.881591,13.755487,5.254711,16.606719
26,0.866667,0,,11.861525,7.876204,13.740196,5.253304,16.591074
27,0.900000,0,,11.862908,7.876792,13.741666,5.253431,16.593628
28,0.933333,0,,11.790452,8.433888,12.933720,6.320655,16.116982
29,0.966667,0,,12.428411,8.824679,13.738440,6.537804,17.008990
30,1.000000,0,,12.314853,8.790016,13.577000,6.557400,16.810160
31,1.033333,0,,12.589437,9.002370,13.905410,6.723451,17.139450
32,1.066667,0,,12.075343,8.789279,13.209517,6.717174,16.299336
33,1.100000,0,,12.664481,9.132072,13.958643,6.888261,17.146541
34,1.133333,0,,12.553381,9.121650,13.781271,6.948207,16.930664
35,1.166667,0,,12.570895,9.403575,13.671019,7.404833,16.636834
36,1.200000,0,,12.552541,9.398123,13.643971,7.408444,16.605206
37,1.233333,0,,13.007393,9.726025,14.175018,7.649224,17.197937
38,1.266667,0,,12.891243,9.651912,14.033074,7.604082,17.036574
39,1.300000,0,,13.048865,9.778566,14.213969,7.708461,17.224163
40,1.333333,0,,12.660871,9.527375,13.746829,7.550506,16.685278
41,1.366667,0,,11.992222,8.514316,13.291294,6.299694,16.385678
42,1.400000,0,,11.995778,8.529283,13.284413,6.323276,16.379645
43,1.433333,0,,12.022326,8.546651,13.316689,6.334296,16.415992
44,1.466667,0,,12.004094,8.538131,13.293957,6.332151,16.386175
45,1.500000,0,,12.475796,8.809573,13.900496,6.462963,17.063930
46,1.533333,0,,12.461539,8.802885,13.881022,6.461617,17.041979
47,1.566667,0,,12.680040,8.957643,14.153288,6.569245,17.317588
48,1.600000,0,,12.135342,8.682110,13.453745,6.476966,16.475315
49,1.633333,0,,12.620770,8.994883,14.043940,6.671004,17.147365
50,1.666667,0,,12.494419,8.909172,13.890832,6.613699,16.978725
51,1.700000,0,,12.655286,9.029390,14.083293,6.704449,17.178117
52,1.733333,0,,12.195208,8.750368,13.514684,6.549650,16.521290
53,1.766667,0,,12.195559,8.750438,13.514425,6.549696,16.522555
54,1.800000,0,,12.144705,9.109501,12.895318,7.260428,16.278370
55,1.833333,0,,12.144705,9.109501,12.895318,7.260428,16.278370
56,1.866667,0,,12.144705,9.109501,12.895318,7.260428,16.278370
57,1.900000,0,,12.670179,9.459011,13.530612,7.488262,16.991663
58,1.933333,0,,12.663200,9.456460,13.519900,7.488984,16.980716
59,1.966667,0,,12.913865,9.647051,13.818784,7.635692,17.287119
60,2.000000,0,,12.391994,9.400549,13.135964,7.577222,16.462796
61,2.033333,0,,12.810743,9.681618,13.638355,7.763586,17.030288
62,2.066667,0,,12.559887,9.550779,13.325258,7.712973,16.641429
63,2.100000,0,,12.612993,9.587725,13.391944,7.737981,16.709055
64,2.133333,0,,12.494391,9.520569,13.244295,7.705731,16.533146
65,2.166667,0,,12.494544,9.520576,13.244605,7.705622,16.533406
66,2.200000,0,,11.523815,7.293424,13.595153,4.492388,16.483905
67,2.233333,0,,11.523815,7.293424,13.595153,4.492388,16.483905
68,2.266667,0,,11.523815,7.293424,13.595153,4.492388,16.483905
69,2.300000,0,,11.485083,7.192401,13.632133,4.340250,16.482866
70,2.333333,0,,11.481209,7.190794,13.626680,4.340246,16.476701
71,2.366667,0,,11.491160,7.196456,13.640040,4.342783,16.490656
72,2.400000,0,,11.469285,7.187960,13.609651,4.343573,16.454631
73,2.433333,0,,11.864565,7.436847,14.100056,4.490411,17.003228
74,2.466667,0,,11.712379,7.343367,13.911862,4.437388,16.787886
75,2.500000,0,,11.834222,7.433655,14.059391,4.504548,16.938726
76,2.533333,0,,11.509846,7.244075,13.654954,4.407289,16.467294
77,2.566667,0,,11.509839,7.244076,13.654937,4.407296,16.467285
78,2.600000,0,,10.953235,5.822248,13.993859,2.309549,16.556297
79,2.633333,0,,10.976477,5.832408,14.028161,2.310030,16.591239
80,2.666667,0,,10.946283,5.817043,13.989097,2.304835,16.544915
81,2.700000,0,,11.363876,6.030887,14.553049,2.373598,17.164979
82,2.733333,0,,11.082804,5.966920,14.153938,2.455943,16.638532
83,2.766667,0,,11.089944,5.971206,14.163196,2.458184,16.648452
84,2.800000,0,,11.076494,5.966054,14.143049,2.459100,16.627332
85,2.833333,0,,11.553647,6.219820,14.775843,2.554856,17.330242
86,2.866667,0,,11.428617,6.160647,14.608796,2.541421,17.135635
87,2.900000,0,,11.604745,6.281480,14.829676,2.621782,17.362779
88,2.933333,0,,11.194737,6.104602,14.282944,2.604194,16.697072
89,2.966667,0,,11.195862,6.105067,14.284393,2.604221,16.698970
90,3.000000,0,,11.195437,6.104834,14.283852,2.604120,16.698339
91,3.033333,0,,11.115847,6.516134,13.481360,3.445815,16.420368
92,3.066667,0,,11.079071,6.521010,13.407444,3.481926,16.347843
93,3.100000,0,,11.628109,6.834762,14.108264,3.631903,17.144159
94,3.133333,0,,11.521860,6.793565,13.958895,3.636238,16.970446
95,3.166667,0,,11.724855,6.945298,14.200838,3.751006,17.222722
96,3.200000,0,,11.267714,6.755989,13.577717,3.746642,16.478784
