frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,12.328532,9.867515,12.525866,8.458046,16.001684
1,0.033333,0,,12.940960,10.312212,13.228406,8.789940,16.804532
2,0.066667,0,,12.889213,10.309392,13.147182,8.820723,16.699733
3,0.100000,0,,13.159375,10.538261,13.449001,9.019753,17.009371
4,0.133333,0,,12.746612,10.345542,12.923188,8.973889,16.342759
5,0.166667,0,,13.326368,10.756256,13.606016,9.268242,17.104846
6,0.200000,0,,13.239588,10.711962,13.490512,9.253810,16.974441
7,0.233333,0,,13.475544,10.907467,13.759954,9.419544,17.247132
8,0.266667,0,,13.031757,10.656482,13.203300,9.300250,16.591722
9,0.300000,0,,13.041530,10.662501,13.214324,9.303911,16.606354
10,0.333333,0,,13.033810,10.657635,13.204626,9.301061,16.595744
11,0.366667,0,,11.093869,5.863027,14.332599,2.251630,16.697377
12,0.400000,0,,11.093869,5.863027,14.332599,2.251630,16.697377
13,0.433333,0,,11.545995,6.102857,14.948082,2.337922,17.351982
14,0.466667,0,,11.419214,6.055723,14.769715,2.346273,17.141655
15,0.500000,0,,11.573664,6.161089,14.966746,2.415089,17.339157
16,0.533333,0,,11.228480,6.018813,14.492587,2.413632,16.779221
17,0.566667,0,,11.804894,6.631281,15.098650,3.039643,17.276390
18,0.600000,0,,11.804894,6.631281,15.098650,3.039643,17.276390
19,0.633333,0,,11.806186,6.632054,15.100421,3.040024,17.278113
20,0.666667,0,,11.804268,6.631440,15.097614,3.040328,17.274861
21,0.700000,0,,11.807406,6.632658,15.102418,3.040116,17.279683
22,0.733333,0,,11.805446,6.631552,15.100029,3.039577,17.276733
23,0.766667,0,,10.661491,6.524079,12.677159,3.786823,15.520490
24,0.800000,0,,10.661327,6.524004,12.676950,3.786808,15.520222
25,0.833333,0,,11.383602,6.972256,13.574023,4.044750,16.532033
26,0.866667,0,,11.516720,7.205301,13.626324,4.350923,16.572913
27,0.900000,0,,11.891075,7.532951,14.030187,4.646199,16.996839
28,0.933333,0,,11.501212,7.464553,13.420024,4.804384,16.279229
29,0.966667,0,,12.054667,7.807996,14.118677,4.999523,17.045802
30,1.000000,0,,11.952888,7.766678,13.969349,5.002156,16.887158
31,1.033333,0,,12.160296,7.924195,14.218033,5.122960,17.139895
32,1.066667,0,,11.734247,7.722247,13.637189,5.079234,16.486317
33,1.100000,0,,11.761041,7.737664,13.670995,5.086803,16.525324
34,1.133333,0,,11.743196,7.729350,13.647554,5.085003,16.497030
35,1.166667,0,,11.652709,7.802611,13.310636,5.302987,16.344503
36,1.200000,0,,11.638949,7.819837,13.279478,5.341216,16.296152
37,1.233333,0,,12.180740,8.149138,13.961997,5.521812,17.058410
38,1.266667,0,,12.057853,8.081145,13.803199,5.492138,16.878224
39,1.300000,0,,12.227984,8.216537,14.000799,5.602245,17.080909
40,1.333333,0,,11.772754,7.988359,13.401341,5.531621,16.385301
41,1.366667,0,,12.174535,8.237961,13.897995,5.676016,16.949594
42,1.400000,0,,11.911085,8.122484,13.559070,5.659175,16.515009
43,1.433333,0,,11.929631,8.134858,13.582828,5.666985,16.539082
44,1.466667,0,,11.890258,8.116335,13.528389,5.663327,16.479057
45,1.500000,0,,11.914503,8.129962,13.558231,5.669836,16.515443
46,1.533333,0,,11.895695,8.119260,13.533990,5.664822,16.488273
47,1.566667,0,,11.818562,8.006535,13.499877,5.522942,16.432867
48,1.600000,0,,11.806631,8.006731,13.483844,5.530766,16.405282
49,1.633333,0,,11.899122,8.049255,13.615520,5.536993,16.544852
50,1.666667,0,,11.885844,8.117807,13.545918,5.663276,16.448339
51,1.700000,0,,11.890277,8.120481,13.551919,5.664630,16.454282
52,1.733333,0,,11.883985,8.117584,13.543224,5.664144,16.444587
53,1.766667,0,,12.263549,8.367829,14.003061,5.825061,16.962526
54,1.800000,0,,12.037342,8.239875,13.722668,5.763490,16.625868
55,1.833333,0,,12.104402,8.289336,13.802345,5.800425,16.710436
56,1.866667,0,,11.930374,8.182486,13.586580,5.739987,16.464555
57,1.900000,0,,11.941316,8.189151,13.599754,5.743789,16.480406
58,1.933333,0,,11.932887,8.184884,13.588134,5.742529,16.467998
59,1.966667,0,,11.934151,8.186241,13.588919,5.744043,16.469492
60,2.000000,0,,11.629586,8.602951,12.336578,6.768160,15.784021
61,2.033333,0,,12.177727,8.942770,13.020556,6.962656,16.549969
62,2.066667,0,,12.095494,8.930154,12.888406,6.999592,16.398483
63,2.100000,0,,12.390562,9.304990,13.143224,7.427504,16.600957
64,2.133333,0,,12.146980,9.202241,12.816266,7.421153,16.203519
65,2.166667,0,,12.787942,9.618882,13.593392,7.683517,17.086916
66,2.200000,0,,12.638196,9.601959,13.362972,7.757955,16.793662
67,2.233333,0,,12.809081,9.726539,13.567391,7.849502,17.010350
68,2.266667,0,,12.497039,9.592084,13.148991,7.836870,16.505256
69,2.300000,0,,12.966218,9.918081,13.701723,8.065126,17.131804
70,2.333333,0,,12.952591,9.911364,13.683639,8.063219,17.110915
71,2.366667,0,,13.145092,10.070348,13.909367,8.196339,17.329568
72,2.400000,0,,12.681423,9.818938,13.319654,8.090299,16.634315
73,2.433333,0,,12.681999,9.819102,13.320515,8.090173,16.635310
74,2.466667,0,,12.823830,10.198251,13.109481,8.678130,16.683877
75,2.500000,0,,12.904234,10.250863,13.206221,8.711746,16.794735
76,2.533333,0,,12.827194,10.217204,13.105381,8.707369,16.668832
77,2.566667,0,,13.374836,10.571819,13.770571,8.929146,17.424792
78,2.600000,0,,13.233190,10.477106,13.600157,8.866773,17.232639
79,2.633333,0,,13.407114,10.608330,13.811315,8.966159,17.443869
80,2.666667,0,,12.894725,10.305081,13.183076,8.804323,16.696776
81,2.700000,0,,13.439568,10.667267,13.837181,9.041238,17.440284
82,2.733333,0,,13.289981,10.575690,13.655132,8.988957,17.225854
83,2.766667,0,,13.467073,10.710768,13.868715,9.092741,17.439763
84,2.800000,0,,13.003139,10.440698,13.311179,8.950744,16.747493
85,2.833333,0,,11.791069,7.088639,14.570318,3.870949,16.931940
86,2.866667,0,,11.790893,7.088548,14.570044,3.870928,16.931708
87,2.900000,0,,11.791036,7.088596,14.570271,3.870905,16.931930
88,2.933333,0,,11.790894,7.088549,14.570071,3.870922,16.931691
89,2.966667,0,,12.215320,7.370525,15.072231,4.056836,17.516895
90,3.000000,0,,12.123617,7.311517,14.962525,4.019911,17.388416
91,3.033333,0,,12.261536,7.421947,15.117053,4.111453,17.556101
92,3.066667,0,,11.880344,7.204130,14.654209,4.002172,16.984651
93,3.100000,0,,11.882113,7.205148,14.656774,4.002599,16.986965
94,3.133333,0,,11.881302,7.204553,14.655841,4.002151,16.985914
95,3.166667,0,,11.154247,7.713899,12.403898,5.530920,15.527923
96,3.200000,0,,11.154247,7.713899,12.403898,5.530920,15.527923
97,3.233333,0,,12.118998,8.512588,13.445561,6.220616,16.690818
98,3.266667,0,,12.093549,8.510088,13.405088,6.234138,16.641421
99,3.300000,0,,12.498747,8.879114,13.832485,6.578234,17.085523
100,3.333333,0,,12.119679,8.815992,13.251119,6.734701,16.373217
101,3.366667,0,,12.743437,9.222240,14.007424,6.991243,17.231643
102,3.400000,0,,12.620690,9.195692,13.825778,7.030967,17.005324
103,3.433333,0,,12.841395,9.364241,14.086130,7.161900,17.276157
104,3.466667,0,,12.429282,9.177017,13.544959,7.127718,16.615168
105,3.500000,0,,12.754215,9.414108,13.925556,7.303883,17.033207
106,3.533333,0,,12.723673,9.396393,13.887134,7.295010,16.988876
107,3.566667,0,,12.853072,9.491796,14.042635,7.365839,17.150743
108,3.600000,0,,12.516952,9.285479,13.624520,7.249493,16.676844
109,3.633333,0,,12.523109,9.289060,13.632139,7.251325,16.685865
110,3.666667,0,,12.521583,9.288220,13.630220,7.250953,16.683577
111,3.700000,0,,12.523032,9.288929,13.632057,7.251165,16.685875
112,3.733333,0,,12.517200,9.285529,13.624868,7.249412,16.677321
113,3.766667,0,,12.517525,9.285741,13.625327,7.249532,16.677715
114,3.800000,0,,12.517473,9.285706,13.625262,7.249510,16.677648
115,3.833333,0,,12.517512,9.285733,13.625317,7.249527,16.677693
116,3.866667,0,,12.517298,9.285600,13.625005,7.249460,16.677429
117,3.900000,0,,12.517298,9.285600,13.625005,7.249460,16.677429
118,3.933333,0,,12.517298,9.285600,13.625005,7.249460,16.677429
119,3.966667,0,,12.517298,9.285600,13.625005,7.249460,16.677429
120,4.000000,0,,11.608667,7.353001,13.914288,4.486777,16.424936
121,4.033333,0,,11.641093,7.371146,13.953365,4.495540,16.474374
122,4.066667,0,,11.633610,7.366523,13.943546,4.493016,16.464269
123,4.100000,0,,11.640547,7.370528,13.952732,4.494901,16.474008
124,4.133333,0,,11.605561,7.350242,13.911068,4.484236,16.421380
125,4.166667,0,,11.610992,7.353220,13.918584,4.485396,16.428997
126,4.200000,0,,11.610174,7.352652,13.917607,4.485002,16.427913
127,4.233333,0,,11.610949,7.353207,13.918504,4.485408,16.428934
128,4.266667,0,,11.605276,7.350329,13.910474,4.484596,16.420757
129,4.300000,0,,11.605903,7.350737,13.911059,4.484893,16.421757
130,4.333333,0,,11.605821,7.350671,13.910956,4.484840,16.421666
131,4.366667,0,,11.605909,7.350747,13.911062,4.484906,16.421760
132,4.400000,0,,11.605284,7.350317,13.910476,4.484575,16.420800
133,4.433333,0,,11.605393,7.350410,13.910641,4.484646,16.420892
134,4.466667,0,,11.605371,7.350390,13.910623,4.484627,16.420865
135,4.500000,0,,11.605400,7.350417,13.910658,4.484652,16.420890
136,4.533333,0,,11.605277,7.350311,13.910489,4.484565,16.420776
137,4.566667,0,,11.605377,7.350412,13.910583,4.484668,16.420881
138,4.600000,0,,11.605370,7.350405,13.910574,4.484661,16.420875
139,4.633333,0,,11.605378,7.350412,13.910583,4.484668,16.420883
140,4.666667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
141,4.700000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
142,4.733333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
143,4.766667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
144,4.800000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
145,4.833333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
146,4.866667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
147,4.900000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
148,4.933333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
149,4.966667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
150,5.000000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
151,5.033333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
152,5.066667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
153,5.100000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
154,5.133333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
155,5.166667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
156,5.200000,0,,11.605340,7.350380,13.910539,4.484640,16.420841
157,5.233333,0,,11.605340,7.350380,13.910539,4.484640,16.420841
158,5.266667,0,,11.605340,7.350380,13.910539,4.484640,16.420841
