frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,15,14.255184,6.343081,20.287908,0.632948,21.844696
1,0.033333,0,15,14.618372,6.507599,20.768617,0.661503,22.424996
2,0.066667,0,15,14.543830,6.488184,20.664186,0.679220,22.288084
3,0.100000,0,15,14.672681,6.565617,20.825024,0.721122,22.471897
4,0.133333,0,15,14.366228,6.465752,20.405770,0.760586,21.932329
5,0.166667,0,15,14.366326,6.384874,20.360614,0.644630,22.093735
6,0.200000,0,15,14.365652,6.384247,20.358984,0.644239,22.093732
7,0.233333,0,15,14.511667,6.454340,20.555630,0.661123,22.318247
8,0.266667,0,15,14.363167,6.398686,20.332470,0.673321,22.083710
9,0.300000,0,15,14.366718,6.400161,20.338162,0.673176,22.088817
10,0.333333,0,15,14.364073,6.398796,20.335354,0.672558,22.084308
11,0.366667,0,15,14.365192,6.399016,20.336490,0.672274,22.086811
12,0.400000,0,15,14.055731,6.191613,19.900549,0.549151,21.717493
13,0.433333,0,15,14.551031,6.374769,20.622467,0.509520,22.521105
14,0.466667,0,15,14.307696,6.266281,20.301485,0.492855,22.128747
15,0.500000,0,15,14.479138,6.350650,20.539077,0.514437,22.383900
16,0.533333,0,15,14.032573,6.189640,19.901255,0.553729,21.642735
17,0.566667,0,15,14.051269,6.197448,19.928035,0.553727,21.672045
18,0.600000,0,15,14.040703,6.192289,19.914119,0.552303,21.655689
19,0.633333,0,15,14.041576,6.192626,19.915401,0.552252,21.657076
20,0.666667,0,15,13.911878,6.079199,19.710156,0.464355,21.561121
21,0.700000,0,15,14.503817,6.345167,20.546162,0.496048,22.469242
22,0.733333,0,15,14.387514,6.323699,20.372318,0.539798,22.250428
23,0.766667,0,15,14.599482,6.443390,20.656139,0.592567,22.549738
24,0.800000,0,15,14.201263,6.316276,20.077123,0.655450,21.871214
25,0.833333,0,15,14.202434,6.316767,20.080133,0.655162,21.872007
26,0.866667,0,15,14.168845,6.271503,20.132722,0.584599,21.789215
27,0.900000,0,15,14.195853,6.284565,20.170074,0.587660,21.829824
28,0.933333,0,15,14.162102,6.271852,20.121801,0.589798,21.774706
29,0.966667,0,15,14.659701,6.494124,20.814338,0.616641,22.548124
30,1.000000,0,15,14.551965,6.465580,20.658606,0.642544,22.354744
31,1.033333,0,15,14.733392,6.570589,20.896594,0.692775,22.610808
32,1.066667,0,15,14.297615,6.428684,20.279731,0.753571,21.859543
33,1.100000,0,15,14.297914,6.428797,20.280137,0.753558,21.860049
34,1.133333,0,15,14.297804,6.428733,20.279997,0.753526,21.859888
35,1.166667,0,15,14.392708,6.380230,20.422544,0.614999,22.140581
36,1.200000,0,15,14.392708,6.380230,20.422544,0.614999,22.140581
