frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,30,14.135252,6.227644,20.024555,0.551324,21.829877
1,0.033333,0,30,14.527721,6.396626,20.562728,0.564409,22.456025
2,0.066667,0,30,14.460120,6.378700,20.470068,0.579533,22.330760
3,0.100000,0,30,14.603991,6.460189,20.657644,0.616845,22.537483
4,0.133333,0,30,14.301040,6.367382,20.246258,0.664389,21.992473
5,0.166667,0,30,14.306124,6.369790,20.253387,0.664864,22.000123
6,0.200000,0,30,14.303552,6.368650,20.249875,0.664724,21.996057
7,0.233333,0,30,14.304108,6.368683,20.249830,0.664599,21.997896
8,0.266667,0,30,14.174698,6.304326,20.217388,0.615187,21.691518
9,0.300000,0,30,14.686850,6.532286,20.930107,0.641567,22.488877
10,0.333333,0,30,14.570709,6.499128,20.763001,0.665610,22.283517
11,0.366667,0,30,14.756743,6.607139,21.011987,0.716556,22.541685
12,0.400000,0,30,14.308515,6.459245,20.371736,0.777338,21.776470
13,0.433333,0,30,14.020328,6.187375,19.869247,0.561321,21.630418
14,0.466667,0,30,14.020328,6.187375,19.869247,0.561321,21.630418
15,0.500000,0,30,14.020434,6.187390,19.869424,0.561271,21.630607
16,0.533333,0,30,14.020284,6.187351,19.869230,0.561303,21.630319
17,0.566667,0,30,14.618530,6.463353,20.705434,0.606433,22.543724
18,0.600000,0,30,14.526348,6.446376,20.560795,0.642665,22.375584
19,0.633333,0,30,14.772089,6.589428,20.880396,0.712576,22.723295
20,0.666667,0,30,14.302073,6.442715,20.195830,0.792211,21.918177
21,0.700000,0,30,14.302131,6.442758,20.195920,0.792238,21.918236
22,0.733333,0,30,14.039391,6.169011,20.177186,0.459100,21.481885
23,0.766667,0,30,14.041504,6.170100,20.179939,0.459482,21.485091
24,0.800000,0,30,14.039370,6.169255,20.177083,0.459511,21.481517
25,0.833333,0,30,14.048527,6.173676,20.189313,0.460630,21.495638
26,0.866667,0,30,14.042643,6.171062,20.180263,0.460523,21.487143
27,0.900000,0,30,14.042643,6.171062,20.180263,0.460523,21.487143
28,0.933333,0,30,13.858947,6.056314,19.619415,0.466408,21.491017
29,0.966667,0,30,14.379619,6.283112,20.362396,0.481503,22.294958
30,1.000000,0,30,14.292096,6.260638,20.231275,0.504664,22.140348
31,1.033333,0,30,14.485899,6.365878,20.489105,0.546752,22.421839
32,1.066667,0,30,14.075524,6.232326,19.897275,0.606516,21.722781
33,1.100000,0,30,14.085983,6.237210,19.912841,0.607190,21.737919
34,1.133333,0,30,14.080439,6.234982,19.906293,0.607021,21.728003
35,1.166667,0,30,14.043751,6.174911,19.890066,0.529501,21.711685
36,1.200000,0,30,14.043751,6.174911,19.890066,0.529501,21.711685
37,1.233333,0,30,14.576022,6.421921,20.646427,0.569201,22.512439
38,1.266667,0,30,14.486376,6.402207,20.515628,0.597299,22.346200
39,1.300000,0,30,14.694394,6.519583,20.794925,0.648786,22.639472
40,1.333333,0,30,14.275372,6.384648,20.195650,0.710938,21.919528
41,1.366667,0,30,14.276668,6.385266,20.197603,0.711036,21.921365
42,1.400000,0,30,14.276067,6.384969,20.197013,0.710905,21.920282
43,1.433333,0,30,14.244025,6.304078,20.172298,0.601293,21.958484
44,1.466667,0,30,14.224133,6.300496,20.145004,0.608382,21.919013
45,1.500000,0,30,14.653398,6.490054,20.734127,0.629948,22.596120
46,1.533333,0,30,14.532996,6.451729,20.561790,0.648533,22.388663
47,1.566667,0,30,14.683891,6.535276,20.756158,0.685195,22.610321
48,1.600000,0,30,14.322126,6.410334,20.243018,0.724793,21.998567
49,1.633333,0,30,14.322712,6.410550,20.244729,0.724557,21.998849
50,1.666667,0,30,14.357874,6.382284,20.329431,0.650259,22.093931
51,1.700000,0,30,14.472087,6.438346,20.482206,0.665615,22.268441
52,1.733333,0,30,14.333002,6.386512,20.278178,0.676404,22.044424
53,1.766667,0,30,14.738407,6.564414,20.834946,0.694944,22.685333
54,1.800000,0,30,14.637114,6.528860,20.690891,0.705226,22.515227
55,1.833333,0,30,14.774414,6.605707,20.870148,0.739347,22.713749
56,1.866667,0,30,14.393024,6.472424,20.328437,0.778822,22.071814
57,1.900000,0,30,14.168754,6.180971,20.288213,0.409881,21.808169
58,1.933333,0,30,14.165369,6.179121,20.284313,0.408996,21.802797
