frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,14.094387,6.181304,18.886302,0.741560,22.655299
1,0.033333,0,,14.094395,6.181305,18.886323,0.741554,22.655309
2,0.066667,0,,13.902077,5.990343,18.573997,0.577549,22.554684
3,0.100000,0,,13.931705,6.004829,18.615944,0.580939,22.598231
4,0.133333,0,,13.884922,5.986602,18.549232,0.582917,22.522616
5,0.166667,0,,13.906603,5.996359,18.580347,0.583994,22.555469
6,0.200000,0,,13.895307,5.991481,18.564906,0.583584,22.537433
7,0.233333,0,,13.905393,5.996003,18.584722,0.582892,22.548566
8,0.266667,0,,13.694540,5.882185,18.305698,0.537834,22.240087
9,0.300000,0,,14.212483,6.077752,19.039792,0.507218,23.090439
10,0.333333,0,,14.021209,5.992850,18.792475,0.493612,22.777540
11,0.366667,0,,14.206802,6.066399,19.061430,0.486751,23.072223
12,0.400000,0,,13.659059,5.867953,18.291404,0.530774,22.154999
13,0.433333,0,,13.993583,6.016850,18.757196,0.547946,22.675608
14,0.466667,0,,13.908784,5.994824,18.636222,0.568672,22.521457
15,0.500000,0,,14.023123,6.058934,18.785990,0.597158,22.686221
16,0.533333,0,,13.763091,5.972622,18.413659,0.631819,22.243794
17,0.566667,0,,14.133730,6.124598,18.933875,0.629729,22.837588
18,0.600000,0,,14.133475,6.124434,18.933547,0.629632,22.837247
19,0.633333,0,,14.165750,6.139837,18.973725,0.633941,22.889584
20,0.666667,0,,14.136130,6.128841,18.927664,0.636876,22.843851
21,0.700000,0,,14.136340,6.128815,18.927747,0.636747,22.844525
22,0.733333,0,,14.017835,6.050003,18.863289,0.568172,22.622045
23,0.766667,0,,14.050004,6.065688,18.905748,0.572458,22.671808
24,0.800000,0,,14.012012,6.051354,18.848881,0.575380,22.611774
25,0.833333,0,,14.509632,6.269970,19.524722,0.600175,23.403998
26,0.866667,0,,14.404186,6.242139,19.375342,0.625030,23.212186
27,0.900000,0,,14.586063,6.345420,19.606838,0.673839,23.477511
28,0.933333,0,,14.155411,6.205415,19.002572,0.733113,22.730547
29,0.966667,0,,14.155996,6.205559,19.003232,0.732996,22.731760
30,1.000000,0,,14.007606,6.053596,18.824508,0.585673,22.612636
31,1.033333,0,,14.029290,6.064029,18.851698,0.588657,22.647516
32,1.066667,0,,13.996536,6.050934,18.802651,0.590034,22.596925
33,1.100000,0,,14.503623,6.275953,19.493419,0.618340,23.399111
34,1.133333,0,,14.381433,6.242388,19.319682,0.645234,23.179384
35,1.166667,0,,14.565240,6.347637,19.557703,0.695030,23.442986
36,1.200000,0,,14.138696,6.207955,18.950678,0.754026,22.711385
37,1.233333,0,,14.218704,6.163646,19.150079,0.614625,22.891410
38,1.266667,0,,14.171864,6.164684,19.091138,0.644887,22.779567
39,1.300000,0,,14.176175,6.166598,19.096324,0.645280,22.786923
40,1.333333,0,,14.173702,6.165553,19.091810,0.645473,22.783823
