frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,14.194606,6.259897,19.062500,0.791556,22.729762
1,0.033333,0,,14.194606,6.259897,19.062500,0.791556,22.729762
2,0.066667,0,,13.804550,5.964928,18.456032,0.596634,22.360983
3,0.100000,0,,13.839065,5.980939,18.502201,0.599826,22.415169
4,0.133333,0,,13.790098,5.961519,18.429998,0.601885,22.338413
5,0.166667,0,,14.285936,6.182163,19.106203,0.630355,23.121250
6,0.200000,0,,14.165677,6.149924,18.927681,0.659708,22.909643
7,0.233333,0,,14.347960,6.255183,19.165112,0.710161,23.168608
8,0.266667,0,,13.921168,6.115713,18.561118,0.768906,22.433479
9,0.300000,0,,14.232599,6.163798,19.063887,0.629001,23.004909
10,0.333333,0,,14.232382,6.163678,19.063945,0.628874,23.004326
11,0.366667,0,,14.373818,6.231633,19.258704,0.644389,23.218362
12,0.400000,0,,14.216144,6.172652,19.026611,0.656452,22.965369
13,0.433333,0,,14.223891,6.176230,19.037959,0.656929,22.976784
14,0.466667,0,,14.219210,6.173938,19.031949,0.656254,22.969426
15,0.500000,0,,13.817314,5.942602,18.538364,0.539635,22.373943
16,0.533333,0,,13.817314,5.942602,18.538364,0.539635,22.373943
17,0.566667,0,,14.306207,6.119094,19.248943,0.494274,23.175405
18,0.600000,0,,14.052170,6.001388,18.925956,0.467316,22.763239
19,0.633333,0,,14.225048,6.083893,19.162898,0.485656,23.026590
20,0.666667,0,,13.748704,5.910906,18.492530,0.523461,22.230122
21,0.700000,0,,14.094702,6.063482,18.967146,0.540563,22.776398
22,0.733333,0,,14.014885,6.040757,18.845676,0.558632,22.640346
23,0.766667,0,,14.131591,6.107009,19.002681,0.588071,22.804021
24,0.800000,0,,13.860541,6.016491,18.607587,0.624872,22.349166
25,0.833333,0,,14.162997,6.157495,19.064273,0.642560,22.782159
26,0.866667,0,,14.162901,6.157441,19.064090,0.642548,22.782067
27,0.900000,0,,14.179954,6.166838,19.088767,0.646030,22.805065
28,0.933333,0,,14.160137,6.160129,19.060507,0.648442,22.771463
29,0.966667,0,,14.160773,6.160374,19.061458,0.648401,22.772461
30,1.000000,0,,13.966869,6.006265,18.648914,0.564128,22.687566
31,1.033333,0,,13.996972,6.020660,18.689273,0.567562,22.734081
32,1.066667,0,,13.957664,6.006041,18.632555,0.570451,22.669986
33,1.100000,0,,14.452273,6.225523,19.311063,0.597026,23.448730
34,1.133333,0,,14.348324,6.199394,19.163117,0.623710,23.258145
35,1.166667,0,,14.528063,6.302944,19.396873,0.673164,23.514151
36,1.200000,0,,14.090904,6.162025,18.776836,0.736653,22.759223
37,1.233333,0,,14.090904,6.162025,18.776836,0.736653,22.759223
38,1.266667,0,,14.032364,6.051255,18.788645,0.581522,22.726924
39,1.300000,0,,14.055653,6.062439,18.821989,0.583791,22.761179
40,1.333333,0,,14.024229,6.050190,18.776681,0.585219,22.710787
41,1.366667,0,,14.042446,6.059232,18.803938,0.587194,22.736206
