frame,t_s,seq,current_A,mean_rgb,mean_Y,mean_R,mean_G,mean_B
0,0.000000,0,,12.799841,5.751692,18.685327,0.553385,19.160812
1,0.033333,0,,13.091727,5.878489,19.070692,0.568111,19.636377
2,0.066667,0,,13.033816,5.861509,18.991274,0.578554,19.531620
3,0.100000,0,,13.129565,5.917133,19.114957,0.605800,19.667937
4,0.133333,0,,12.873507,5.834130,18.777637,0.636622,19.206263
5,0.166667,0,,13.207809,5.977569,19.230880,0.648122,19.744426
6,0.200000,0,,13.131287,5.953976,19.124390,0.660459,19.609010
7,0.233333,0,,13.246322,6.017992,19.273592,0.688688,19.776686
8,0.266667,0,,12.950174,5.919512,18.864742,0.724564,19.261216
9,0.300000,0,,12.950174,5.919512,18.864742,0.724564,19.261216
10,0.333333,0,,12.950174,5.919512,18.864742,0.724564,19.261216
11,0.366667,0,,12.784573,5.730626,18.705100,0.521449,19.127170
12,0.400000,0,,12.784593,5.730662,18.705110,0.521496,19.127172
13,0.433333,0,,13.542306,6.079560,19.761382,0.578224,20.287313
14,0.466667,0,,13.417298,6.062321,19.572291,0.634813,20.044789
15,0.500000,0,,13.691574,6.227293,19.931071,0.720647,20.423006
16,0.533333,0,,13.201259,6.106355,19.200488,0.857253,19.546035
17,0.566667,0,,13.493678,6.243237,19.599015,0.884610,19.997408
18,0.600000,0,,13.429705,6.218029,19.507551,0.886928,19.894635
19,0.633333,0,,13.529786,6.278172,19.636745,0.918541,20.034073
20,0.666667,0,,13.271463,6.178720,19.270792,0.930795,19.612803
21,0.700000,0,,13.271693,6.178798,19.271113,0.930769,19.613197
22,0.733333,0,,13.271567,6.178723,19.270971,0.930727,19.613003
23,0.766667,0,,12.752615,5.731755,18.689224,0.537437,19.031183
24,0.800000,0,,12.752615,5.731755,18.689224,0.537437,19.031183
25,0.833333,0,,13.302956,5.971605,19.472870,0.553956,19.882043
26,0.866667,0,,13.198675,5.944018,19.320139,0.579530,19.696356
27,0.900000,0,,13.411237,6.059433,19.610443,0.624032,19.999237
28,0.933333,0,,12.962244,5.913964,18.964159,0.690162,19.232412
29,0.966667,0,,13.372835,6.086582,19.540343,0.694498,19.883665
30,1.000000,0,,13.276427,6.055094,19.403854,0.707805,19.717620
31,1.033333,0,,13.422793,6.132930,19.602693,0.736135,19.929550
32,1.066667,0,,13.055842,6.008536,19.072470,0.782062,19.312996
33,1.100000,0,,13.058260,6.009443,19.076126,0.781860,19.316795
34,1.133333,0,,13.057347,6.008970,19.075188,0.781636,19.315217
35,1.166667,0,,13.057347,6.008970,19.075188,0.781636,19.315217
36,1.200000,0,,12.772995,5.729913,18.825636,0.497921,18.995428
37,1.233333,0,,13.287522,5.949102,19.555683,0.506076,19.800807
38,1.266667,0,,13.188712,5.920103,19.413269,0.525358,19.627509
39,1.300000,0,,13.373968,6.020048,19.660833,0.564333,19.896739
40,1.333333,0,,12.955420,5.883407,19.060560,0.623889,19.181811
41,1.366667,0,,13.366335,6.056892,19.639064,0.628957,19.830983
42,1.400000,0,,13.261787,6.023140,19.482377,0.645895,19.657090
43,1.433333,0,,13.404259,6.098866,19.676280,0.673333,19.863164
44,1.466667,0,,13.057549,5.980957,19.170497,0.717191,19.284959
45,1.500000,0,,13.060547,5.981994,19.174868,0.716840,19.289934
46,1.533333,0,,13.058522,5.980831,19.172218,0.716292,19.287057
47,1.566667,0,,13.060109,5.981292,19.175171,0.715829,19.289325
48,1.600000,0,,12.805614,5.728813,18.654289,0.522636,19.239916
49,1.633333,0,,13.394606,5.965948,19.488506,0.510871,20.184441
50,1.666667,0,,13.229912,5.901616,19.259990,0.516197,19.913550
51,1.700000,0,,13.444106,6.008970,19.551306,0.547393,20.233619
